Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitor),PTS(Home)
Orlando Magic,Atlanta Hawks,Fri Dec 12 2014,7:30 pm,81,87
New York Knicks,Boston Celtics,Fri Dec 12 2014,7:30 pm,101,95
Philadelphia 76ers,Brooklyn Nets,Fri Dec 12 2014,7:30 pm,70,88
Portland Trail Blazers,Chicago Bulls,Fri Dec 12 2014,7:00 pm,106,115
Charlotte Hornets,Memphis Grizzlies,Fri Dec 12 2014,8:00 pm,107,113
Oklahoma City Thunder,Minnesota Timberwolves,Fri Dec 12 2014,8:00 pm,111,92
Cleveland Cavaliers,New Orleans Pelicans,Fri Dec 12 2014,8:00 pm,114,119
Detroit Pistons,Phoenix Suns,Fri Dec 12 2014,9:00 pm,105,103
Los Angeles Lakers,San Antonio Spurs,Fri Dec 12 2014,9:30 pm,112,110
Indiana Pacers,Toronto Raptors,Fri Dec 12 2014,7:30 pm,94,106
Miami Heat,Utah Jazz,Fri Dec 12 2014,9:00 pm,100,95
Los Angeles Clippers,Washington Wizards,Fri Dec 12 2014,7:00 pm,96,104
Brooklyn Nets,Charlotte Hornets,Sat Dec 13 2014,7:00 pm,114,87
Golden State Warriors,Dallas Mavericks,Sat Dec 13 2014,2:00 pm,105,98
Denver Nuggets,Houston Rockets,Sat Dec 13 2014,8:00 pm,96,108
Portland Trail Blazers,Indiana Pacers,Sat Dec 13 2014,7:00 pm,95,85
Los Angeles Clippers,Milwaukee Bucks,Sat Dec 13 2014,7:30 pm,106,111
Atlanta Hawks,Orlando Magic,Sat Dec 13 2014,7:00 pm,99,100
Memphis Grizzlies,Philadelphia 76ers,Sat Dec 13 2014,7:30 pm,120,115
Detroit Pistons,Sacramento Kings,Sat Dec 13 2014,10:00 pm,95,90
San Antonio Spurs,Denver Nuggets,Sun Dec 14 2014,8:00 pm,99,91
Chicago Bulls,Miami Heat,Sun Dec 14 2014,6:00 pm,93,75
Los Angeles Lakers,Minnesota Timberwolves,Sun Dec 14 2014,7:00 pm,100,94
Golden State Warriors,New Orleans Pelicans,Sun Dec 14 2014,6:00 pm,128,122
Toronto Raptors,New York Knicks,Sun Dec 14 2014,7:30 pm,95,90
Phoenix Suns,Oklahoma City Thunder,Sun Dec 14 2014,7:00 pm,88,112
Utah Jazz,Washington Wizards,Sun Dec 14 2014,6:00 pm,84,93
Chicago Bulls,Atlanta Hawks,Mon Dec 15 2014,7:30 pm,86,93
Charlotte Hornets,Cleveland Cavaliers,Mon Dec 15 2014,7:00 pm,88,97
Los Angeles Lakers,Indiana Pacers,Mon Dec 15 2014,7:00 pm,91,110
Detroit Pistons,Los Angeles Clippers,Mon Dec 15 2014,10:30 pm,91,113
Boston Celtics,Philadelphia 76ers,Mon Dec 15 2014,7:00 pm,105,87
Milwaukee Bucks,Phoenix Suns,Mon Dec 15 2014,9:00 pm,96,94
San Antonio Spurs,Portland Trail Blazers,Mon Dec 15 2014,10:00 pm,95,108
Orlando Magic,Toronto Raptors,Mon Dec 15 2014,7:30 pm,82,95
Miami Heat,Brooklyn Nets,Tue Dec 16 2014,7:30 pm,95,91
Golden State Warriors,Memphis Grizzlies,Tue Dec 16 2014,8:00 pm,98,105
Utah Jazz,New Orleans Pelicans,Tue Dec 16 2014,8:00 pm,111,119
Dallas Mavericks,New York Knicks,Tue Dec 16 2014,8:00 pm,107,87
Oklahoma City Thunder,Sacramento Kings,Tue Dec 16 2014,10:30 pm,104,92
Minnesota Timberwolves,Washington Wizards,Tue Dec 16 2014,7:00 pm,95,109
Orlando Magic,Boston Celtics,Wed Dec 17 2014,7:30 pm,92,109
Phoenix Suns,Charlotte Hornets,Wed Dec 17 2014,7:00 pm,111,106
Atlanta Hawks,Cleveland Cavaliers,Wed Dec 17 2014,7:00 pm,127,98
Houston Rockets,Denver Nuggets,Wed Dec 17 2014,10:30 pm,115,111
Dallas Mavericks,Detroit Pistons,Wed Dec 17 2014,7:30 pm,117,106
Indiana Pacers,Los Angeles Clippers,Wed Dec 17 2014,10:30 pm,100,102
Utah Jazz,Miami Heat,Wed Dec 17 2014,7:30 pm,105,87
Milwaukee Bucks,Portland Trail Blazers,Wed Dec 17 2014,10:00 pm,97,104
Memphis Grizzlies,San Antonio Spurs,Wed Dec 17 2014,8:30 pm,117,116
Brooklyn Nets,Toronto Raptors,Wed Dec 17 2014,8:00 pm,89,105
New York Knicks,Chicago Bulls,Thu Dec 18 2014,8:00 pm,97,103
Oklahoma City Thunder,Golden State Warriors,Thu Dec 18 2014,10:30 pm,109,114
New Orleans Pelicans,Houston Rockets,Thu Dec 18 2014,8:30 pm,99,90
Milwaukee Bucks,Sacramento Kings,Thu Dec 18 2014,10:00 pm,108,107
Minnesota Timberwolves,Boston Celtics,Fri Dec 19 2014,7:30 pm,98,114
Brooklyn Nets,Cleveland Cavaliers,Fri Dec 19 2014,7:30 pm,91,95
Los Angeles Clippers,Denver Nuggets,Fri Dec 19 2014,9:00 pm,106,109
Toronto Raptors,Detroit Pistons,Fri Dec 19 2014,7:30 pm,110,100
Oklahoma City Thunder,Los Angeles Lakers,Fri Dec 19 2014,10:30 pm,104,103
Chicago Bulls,Memphis Grizzlies,Fri Dec 19 2014,8:00 pm,103,97
Washington Wizards,Miami Heat,Fri Dec 19 2014,7:30 pm,105,103
Utah Jazz,Orlando Magic,Fri Dec 19 2014,7:00 pm,101,94
Charlotte Hornets,Philadelphia 76ers,Fri Dec 19 2014,7:00 pm,109,91
Portland Trail Blazers,San Antonio Spurs,Fri Dec 19 2014,8:00 pm,129,119
Utah Jazz,Charlotte Hornets,Sat Dec 20 2014,7:00 pm,86,104
San Antonio Spurs,Dallas Mavericks,Sat Dec 20 2014,8:30 pm,93,99
Indiana Pacers,Denver Nuggets,Sat Dec 20 2014,9:00 pm,73,76
Atlanta Hawks,Houston Rockets,Sat Dec 20 2014,8:00 pm,104,97
Milwaukee Bucks,Los Angeles Clippers,Sat Dec 20 2014,10:30 pm,102,106
Portland Trail Blazers,New Orleans Pelicans,Sat Dec 20 2014,7:00 pm,114,88
Phoenix Suns,New York Knicks,Sat Dec 20 2014,1:00 pm,99,90
Detroit Pistons,Brooklyn Nets,Sun Dec 21 2014,6:00 pm,105,110
Memphis Grizzlies,Cleveland Cavaliers,Sun Dec 21 2014,4:30 pm,91,105
Boston Celtics,Miami Heat,Sun Dec 21 2014,6:00 pm,84,100
Indiana Pacers,Minnesota Timberwolves,Sun Dec 21 2014,7:00 pm,100,96
New Orleans Pelicans,Oklahoma City Thunder,Sun Dec 21 2014,7:00 pm,101,99
Philadelphia 76ers,Orlando Magic,Sun Dec 21 2014,6:00 pm,96,88
Los Angeles Lakers,Sacramento Kings,Sun Dec 21 2014,6:00 pm,101,108
New York Knicks,Toronto Raptors,Sun Dec 21 2014,3:30 pm,108,118
Phoenix Suns,Washington Wizards,Sun Dec 21 2014,6:00 pm,104,92
Toronto Raptors,Chicago Bulls,Mon Dec 22 2014,8:00 pm,120,129
Denver Nuggets,Charlotte Hornets,Mon Dec 22 2014,7:00 pm,82,110
Atlanta Hawks,Dallas Mavericks,Mon Dec 22 2014,8:30 pm,105,102
Sacramento Kings,Golden State Warriors,Mon Dec 22 2014,10:30 pm,108,128
Portland Trail Blazers,Houston Rockets,Mon Dec 22 2014,8:00 pm,95,110
Utah Jazz,Memphis Grizzlies,Mon Dec 22 2014,8:00 pm,97,91
Los Angeles Clippers,San Antonio Spurs,Mon Dec 22 2014,8:30 pm,118,125
Los Angeles Clippers,Atlanta Hawks,Tue Dec 23 2014,7:30 pm,104,107
Denver Nuggets,Brooklyn Nets,Tue Dec 23 2014,7:30 pm,96,102
Minnesota Timberwolves,Cleveland Cavaliers,Tue Dec 23 2014,7:00 pm,104,125
New Orleans Pelicans,Indiana Pacers,Tue Dec 23 2014,7:00 pm,84,96
Golden State Warriors,Los Angeles Lakers,Tue Dec 23 2014,10:30 pm,105,115
Philadelphia 76ers,Miami Heat,Tue Dec 23 2014,7:30 pm,91,87
Charlotte Hornets,Milwaukee Bucks,Tue Dec 23 2014,8:00 pm,108,101
Portland Trail Blazers,Oklahoma City Thunder,Tue Dec 23 2014,8:00 pm,115,111
Boston Celtics,Orlando Magic,Tue Dec 23 2014,7:00 pm,95,100
Dallas Mavericks,Phoenix Suns,Tue Dec 23 2014,9:00 pm,115,124
Chicago Bulls,Washington Wizards,Tue Dec 23 2014,7:00 pm,99,91
Los Angeles Lakers,Chicago Bulls,Thu Dec 25 2014,8:00 pm,93,113
Golden State Warriors,Los Angeles Clippers,Thu Dec 25 2014,10:30 pm,86,100
Cleveland Cavaliers,Miami Heat,Thu Dec 25 2014,5:00 pm,91,101
Washington Wizards,New York Knicks,Thu Dec 25 2014,12:00 pm,102,91
Oklahoma City Thunder,San Antonio Spurs,Thu Dec 25 2014,2:30 pm,114,106
Milwaukee Bucks,Atlanta Hawks,Fri Dec 26 2014,7:30 pm,107,77
Brooklyn Nets,Boston Celtics,Fri Dec 26 2014,1:00 pm,109,107
Los Angeles Lakers,Dallas Mavericks,Fri Dec 26 2014,8:30 pm,98,102
Minnesota Timberwolves,Denver Nuggets,Fri Dec 26 2014,9:00 pm,102,106
Indiana Pacers,Detroit Pistons,Fri Dec 26 2014,7:30 pm,109,119
Houston Rockets,Memphis Grizzlies,Fri Dec 26 2014,8:00 pm,117,111
San Antonio Spurs,New Orleans Pelicans,Fri Dec 26 2014,8:00 pm,90,97
Charlotte Hornets,Oklahoma City Thunder,Fri Dec 26 2014,8:00 pm,75,98
Cleveland Cavaliers,Orlando Magic,Fri Dec 26 2014,7:00 pm,98,89
Philadelphia 76ers,Portland Trail Blazers,Fri Dec 26 2014,10:00 pm,93,114
Phoenix Suns,Sacramento Kings,Fri Dec 26 2014,10:00 pm,115,106
Indiana Pacers,Brooklyn Nets,Sat Dec 27 2014,8:00 pm,110,85
New Orleans Pelicans,Chicago Bulls,Sat Dec 27 2014,8:00 pm,100,107
Orlando Magic,Charlotte Hornets,Sat Dec 27 2014,7:00 pm,102,94
Minnesota Timberwolves,Golden State Warriors,Sat Dec 27 2014,10:30 pm,97,110
Toronto Raptors,Los Angeles Clippers,Sat Dec 27 2014,3:30 pm,110,98
Memphis Grizzlies,Miami Heat,Sat Dec 27 2014,7:30 pm,103,95
Atlanta Hawks,Milwaukee Bucks,Sat Dec 27 2014,8:30 pm,90,85
New York Knicks,Sacramento Kings,Sat Dec 27 2014,10:00 pm,129,135
Philadelphia 76ers,Utah Jazz,Sat Dec 27 2014,9:00 pm,71,88
Boston Celtics,Washington Wizards,Sat Dec 27 2014,7:00 pm,88,101
Detroit Pistons,Cleveland Cavaliers,Sun Dec 28 2014,4:30 pm,103,80
Oklahoma City Thunder,Dallas Mavericks,Sun Dec 28 2014,7:30 pm,107,112
Toronto Raptors,Denver Nuggets,Sun Dec 28 2014,9:00 pm,116,102
Phoenix Suns,Los Angeles Lakers,Sun Dec 28 2014,9:30 pm,116,107
New York Knicks,Portland Trail Blazers,Sun Dec 28 2014,9:00 pm,79,101
Houston Rockets,San Antonio Spurs,Sun Dec 28 2014,7:00 pm,106,110
Sacramento Kings,Brooklyn Nets,Mon Dec 29 2014,7:30 pm,99,107
Milwaukee Bucks,Charlotte Hornets,Mon Dec 29 2014,7:00 pm,104,94
Washington Wizards,Houston Rockets,Mon Dec 29 2014,8:00 pm,104,103
Chicago Bulls,Indiana Pacers,Mon Dec 29 2014,7:00 pm,92,90
Utah Jazz,Los Angeles Clippers,Mon Dec 29 2014,10:30 pm,97,101
Orlando Magic,Miami Heat,Mon Dec 29 2014,7:30 pm,102,101
Cleveland Cavaliers,Atlanta Hawks,Tue Dec 30 2014,7:30 pm,101,109
Brooklyn Nets,Chicago Bulls,Tue Dec 30 2014,8:00 pm,96,82
Washington Wizards,Dallas Mavericks,Tue Dec 30 2014,8:30 pm,87,114
Los Angeles Lakers,Denver Nuggets,Tue Dec 30 2014,9:00 pm,111,103
Philadelphia 76ers,Golden State Warriors,Tue Dec 30 2014,10:30 pm,86,126
San Antonio Spurs,Memphis Grizzlies,Tue Dec 30 2014,8:00 pm,87,95
Phoenix Suns,New Orleans Pelicans,Tue Dec 30 2014,8:00 pm,106,110
Detroit Pistons,Orlando Magic,Tue Dec 30 2014,7:00 pm,109,86
Toronto Raptors,Portland Trail Blazers,Tue Dec 30 2014,10:00 pm,97,102
Minnesota Timberwolves,Utah Jazz,Tue Dec 30 2014,9:00 pm,94,100
Sacramento Kings,Boston Celtics,Wed Dec 31 2014,1:00 pm,84,106
Milwaukee Bucks,Cleveland Cavaliers,Wed Dec 31 2014,7:00 pm,96,80
Charlotte Hornets,Houston Rockets,Wed Dec 31 2014,7:00 pm,83,102
Miami Heat,Indiana Pacers,Wed Dec 31 2014,3:00 pm,95,106
New York Knicks,Los Angeles Clippers,Wed Dec 31 2014,6:00 pm,78,99
Phoenix Suns,Oklahoma City Thunder,Wed Dec 31 2014,8:00 pm,134,137
New Orleans Pelicans,San Antonio Spurs,Wed Dec 31 2014,7:00 pm,93,95
Denver Nuggets,Chicago Bulls,Thu Jan 1 2015,8:00 pm,101,106
Sacramento Kings,Minnesota Timberwolves,Thu Jan 1 2015,8:00 pm,110,107
Dallas Mavericks,Boston Celtics,Fri Jan 2 2015,7:30 pm,119,101
Cleveland Cavaliers,Charlotte Hornets,Fri Jan 2 2015,7:00 pm,91,87
Toronto Raptors,Golden State Warriors,Fri Jan 2 2015,10:30 pm,105,126
Memphis Grizzlies,Los Angeles Lakers,Fri Jan 2 2015,10:30 pm,109,106
Indiana Pacers,Milwaukee Bucks,Fri Jan 2 2015,8:30 pm,94,91
Houston Rockets,New Orleans Pelicans,Fri Jan 2 2015,8:00 pm,83,111
Detroit Pistons,New York Knicks,Fri Jan 2 2015,7:30 pm,97,81
Washington Wizards,Oklahoma City Thunder,Fri Jan 2 2015,8:00 pm,102,109
Brooklyn Nets,Orlando Magic,Fri Jan 2 2015,7:00 pm,100,98
Philadelphia 76ers,Phoenix Suns,Fri Jan 2 2015,9:00 pm,96,112
Atlanta Hawks,Utah Jazz,Fri Jan 2 2015,9:00 pm,98,92
Boston Celtics,Chicago Bulls,Sat Jan 3 2015,8:00 pm,104,109
Memphis Grizzlies,Denver Nuggets,Sat Jan 3 2015,9:00 pm,85,114
Miami Heat,Houston Rockets,Sat Jan 3 2015,8:00 pm,79,115
Philadelphia 76ers,Los Angeles Clippers,Sat Jan 3 2015,10:30 pm,91,127
Utah Jazz,Minnesota Timberwolves,Sat Jan 3 2015,8:00 pm,101,89
Charlotte Hornets,Orlando Magic,Sat Jan 3 2015,7:00 pm,98,90
Atlanta Hawks,Portland Trail Blazers,Sat Jan 3 2015,10:00 pm,115,107
Washington Wizards,San Antonio Spurs,Sat Jan 3 2015,8:30 pm,92,101
Dallas Mavericks,Cleveland Cavaliers,Sun Jan 4 2015,1:00 pm,109,90
Sacramento Kings,Detroit Pistons,Sun Jan 4 2015,6:00 pm,95,114
Indiana Pacers,Los Angeles Lakers,Sun Jan 4 2015,9:30 pm,87,88
Brooklyn Nets,Miami Heat,Sun Jan 4 2015,6:00 pm,84,88
Milwaukee Bucks,New York Knicks,Sun Jan 4 2015,7:30 pm,95,82
Toronto Raptors,Phoenix Suns,Sun Jan 4 2015,8:00 pm,109,125
Charlotte Hornets,Boston Celtics,Mon Jan 5 2015,7:30 pm,104,95
Dallas Mavericks,Brooklyn Nets,Mon Jan 5 2015,7:30 pm,96,88
Houston Rockets,Chicago Bulls,Mon Jan 5 2015,8:00 pm,105,114
Oklahoma City Thunder,Golden State Warriors,Mon Jan 5 2015,10:30 pm,91,117
Atlanta Hawks,Los Angeles Clippers,Mon Jan 5 2015,10:30 pm,107,98
New York Knicks,Memphis Grizzlies,Mon Jan 5 2015,8:00 pm,83,105
Denver Nuggets,Minnesota Timberwolves,Mon Jan 5 2015,8:00 pm,110,101
Washington Wizards,New Orleans Pelicans,Mon Jan 5 2015,8:00 pm,92,85
Cleveland Cavaliers,Philadelphia 76ers,Mon Jan 5 2015,7:00 pm,92,95
Los Angeles Lakers,Portland Trail Blazers,Mon Jan 5 2015,10:00 pm,94,98
Indiana Pacers,Utah Jazz,Mon Jan 5 2015,9:00 pm,105,101
Phoenix Suns,Milwaukee Bucks,Tue Jan 6 2015,8:00 pm,102,96
Detroit Pistons,San Antonio Spurs,Tue Jan 6 2015,8:30 pm,105,104
Memphis Grizzlies,Atlanta Hawks,Wed Jan 7 2015,7:30 pm,86,96
Boston Celtics,Brooklyn Nets,Wed Jan 7 2015,7:30 pm,89,81
Utah Jazz,Chicago Bulls,Wed Jan 7 2015,8:00 pm,97,77
New Orleans Pelicans,Charlotte Hornets,Wed Jan 7 2015,7:00 pm,94,98
Houston Rockets,Cleveland Cavaliers,Wed Jan 7 2015,7:00 pm,105,93
Detroit Pistons,Dallas Mavericks,Wed Jan 7 2015,8:30 pm,108,95
Orlando Magic,Denver Nuggets,Wed Jan 7 2015,9:00 pm,90,93
Indiana Pacers,Golden State Warriors,Wed Jan 7 2015,10:30 pm,102,117
Los Angeles Lakers,Los Angeles Clippers,Wed Jan 7 2015,10:30 pm,89,114
Phoenix Suns,Minnesota Timberwolves,Wed Jan 7 2015,9:30 pm,113,111
Milwaukee Bucks,Philadelphia 76ers,Wed Jan 7 2015,7:00 pm,97,77
Oklahoma City Thunder,Sacramento Kings,Wed Jan 7 2015,10:00 pm,83,104
New York Knicks,Washington Wizards,Wed Jan 7 2015,7:00 pm,91,101
Houston Rockets,New York Knicks,Thu Jan 8 2015,8:00 pm,120,96
Miami Heat,Portland Trail Blazers,Thu Jan 8 2015,10:30 pm,83,99
Charlotte Hornets,Toronto Raptors,Thu Jan 8 2015,7:30 pm,103,95
Philadelphia 76ers,Brooklyn Nets,Fri Jan 9 2015,7:30 pm,90,88
Atlanta Hawks,Detroit Pistons,Fri Jan 9 2015,7:30 pm,106,103
Cleveland Cavaliers,Golden State Warriors,Fri Jan 9 2015,10:30 pm,94,112
Boston Celtics,Indiana Pacers,Fri Jan 9 2015,7:00 pm,103,107
Orlando Magic,Los Angeles Lakers,Fri Jan 9 2015,10:30 pm,84,101
Minnesota Timberwolves,Milwaukee Bucks,Fri Jan 9 2015,8:30 pm,84,98
Memphis Grizzlies,New Orleans Pelicans,Fri Jan 9 2015,8:00 pm,95,106
Utah Jazz,Oklahoma City Thunder,Fri Jan 9 2015,8:00 pm,94,99
Denver Nuggets,Sacramento Kings,Fri Jan 9 2015,10:00 pm,118,108
Phoenix Suns,San Antonio Spurs,Fri Jan 9 2015,8:30 pm,95,100
Chicago Bulls,Washington Wizards,Fri Jan 9 2015,8:00 pm,86,102
Milwaukee Bucks,Chicago Bulls,Sat Jan 10 2015,8:00 pm,87,95
Brooklyn Nets,Detroit Pistons,Sat Jan 10 2015,7:30 pm,93,98
Utah Jazz,Houston Rockets,Sat Jan 10 2015,8:00 pm,82,97
Dallas Mavericks,Los Angeles Clippers,Sat Jan 10 2015,3:30 pm,100,120
San Antonio Spurs,Minnesota Timberwolves,Sat Jan 10 2015,8:00 pm,108,93
Charlotte Hornets,New York Knicks,Sat Jan 10 2015,1:00 pm,110,82
Indiana Pacers,Philadelphia 76ers,Sat Jan 10 2015,7:30 pm,92,93
Orlando Magic,Portland Trail Blazers,Sat Jan 10 2015,10:00 pm,92,103
Boston Celtics,Toronto Raptors,Sat Jan 10 2015,7:30 pm,96,109
Washington Wizards,Atlanta Hawks,Sun Jan 11 2015,3:00 pm,89,120
Miami Heat,Los Angeles Clippers,Sun Jan 11 2015,3:30 pm,104,90
Portland Trail Blazers,Los Angeles Lakers,Sun Jan 11 2015,9:30 pm,106,94
Phoenix Suns,Memphis Grizzlies,Sun Jan 11 2015,6:00 pm,110,122
Cleveland Cavaliers,Sacramento Kings,Sun Jan 11 2015,9:00 pm,84,103
New Orleans Pelicans,Boston Celtics,Mon Jan 12 2015,7:30 pm,100,108
Houston Rockets,Brooklyn Nets,Mon Jan 12 2015,7:30 pm,113,99
Orlando Magic,Chicago Bulls,Mon Jan 12 2015,8:00 pm,121,114
Detroit Pistons,Toronto Raptors,Mon Jan 12 2015,7:30 pm,114,111
Minnesota Timberwolves,Indiana Pacers,Tue Jan 13 2015,7:00 pm,110,101
Miami Heat,Los Angeles Lakers,Tue Jan 13 2015,10:30 pm,78,75
Atlanta Hawks,Philadelphia 76ers,Tue Jan 13 2015,7:00 pm,105,87
Cleveland Cavaliers,Phoenix Suns,Tue Jan 13 2015,9:00 pm,100,107
Dallas Mavericks,Sacramento Kings,Tue Jan 13 2015,10:00 pm,108,104
Golden State Warriors,Utah Jazz,Tue Jan 13 2015,9:00 pm,116,105
San Antonio Spurs,Washington Wizards,Tue Jan 13 2015,7:00 pm,93,101
Atlanta Hawks,Boston Celtics,Wed Jan 14 2015,8:00 pm,105,91
Memphis Grizzlies,Brooklyn Nets,Wed Jan 14 2015,7:30 pm,103,92
Washington Wizards,Chicago Bulls,Wed Jan 14 2015,8:00 pm,105,99
San Antonio Spurs,Charlotte Hornets,Wed Jan 14 2015,7:00 pm,98,93
Dallas Mavericks,Denver Nuggets,Wed Jan 14 2015,9:00 pm,107,114
New Orleans Pelicans,Detroit Pistons,Wed Jan 14 2015,7:30 pm,105,94
Miami Heat,Golden State Warriors,Wed Jan 14 2015,10:30 pm,89,104
Houston Rockets,Orlando Magic,Wed Jan 14 2015,7:00 pm,113,120
Los Angeles Clippers,Portland Trail Blazers,Wed Jan 14 2015,10:30 pm,100,94
Philadelphia 76ers,Toronto Raptors,Wed Jan 14 2015,7:30 pm,84,100
Oklahoma City Thunder,Houston Rockets,Thu Jan 15 2015,8:00 pm,101,112
Cleveland Cavaliers,Los Angeles Lakers,Thu Jan 15 2015,10:30 pm,109,102
New York Knicks,Milwaukee Bucks,Thu Jan 15 2015,3:00 pm,79,95
Chicago Bulls,Boston Celtics,Fri Jan 16 2015,7:30 pm,119,103
Denver Nuggets,Dallas Mavericks,Fri Jan 16 2015,8:30 pm,89,97
Detroit Pistons,Indiana Pacers,Fri Jan 16 2015,7:00 pm,98,96
Cleveland Cavaliers,Los Angeles Clippers,Fri Jan 16 2015,10:30 pm,126,121
Golden State Warriors,Oklahoma City Thunder,Fri Jan 16 2015,8:00 pm,115,127
Memphis Grizzlies,Orlando Magic,Fri Jan 16 2015,7:00 pm,106,96
New Orleans Pelicans,Philadelphia 76ers,Fri Jan 16 2015,7:00 pm,81,96
Minnesota Timberwolves,Phoenix Suns,Fri Jan 16 2015,9:00 pm,99,110
Miami Heat,Sacramento Kings,Fri Jan 16 2015,10:00 pm,95,83
Portland Trail Blazers,San Antonio Spurs,Fri Jan 16 2015,8:30 pm,96,110
Atlanta Hawks,Toronto Raptors,Fri Jan 16 2015,7:30 pm,110,89
Los Angeles Lakers,Utah Jazz,Fri Jan 16 2015,9:00 pm,85,94
Brooklyn Nets,Washington Wizards,Fri Jan 16 2015,7:00 pm,102,80
Washington Wizards,Brooklyn Nets,Sat Jan 17 2015,8:00 pm,99,90
Atlanta Hawks,Chicago Bulls,Sat Jan 17 2015,8:00 pm,107,99
Indiana Pacers,Charlotte Hornets,Sat Jan 17 2015,7:00 pm,71,80
Minnesota Timberwolves,Denver Nuggets,Sat Jan 17 2015,9:00 pm,113,105
Philadelphia 76ers,Detroit Pistons,Sat Jan 17 2015,7:30 pm,89,107
Golden State Warriors,Houston Rockets,Sat Jan 17 2015,8:00 pm,131,106
Portland Trail Blazers,Memphis Grizzlies,Sat Jan 17 2015,9:00 pm,98,102
Los Angeles Clippers,Sacramento Kings,Sat Jan 17 2015,10:00 pm,117,108
Oklahoma City Thunder,Orlando Magic,Sun Jan 18 2015,6:00 pm,127,99
Utah Jazz,San Antonio Spurs,Sun Jan 18 2015,7:00 pm,69,89
New Orleans Pelicans,Toronto Raptors,Sun Jan 18 2015,3:30 pm,95,93
Detroit Pistons,Atlanta Hawks,Mon Jan 19 2015,2:30 pm,82,93
Minnesota Timberwolves,Charlotte Hornets,Mon Jan 19 2015,2:00 pm,80,105
Chicago Bulls,Cleveland Cavaliers,Mon Jan 19 2015,7:30 pm,94,108
Denver Nuggets,Golden State Warriors,Mon Jan 19 2015,4:00 pm,79,122
Indiana Pacers,Houston Rockets,Mon Jan 19 2015,5:30 pm,98,110
Boston Celtics,Los Angeles Clippers,Mon Jan 19 2015,3:30 pm,93,102
Dallas Mavericks,Memphis Grizzlies,Mon Jan 19 2015,5:00 pm,103,95
Toronto Raptors,Milwaukee Bucks,Mon Jan 19 2015,8:00 pm,92,89
New Orleans Pelicans,New York Knicks,Mon Jan 19 2015,5:30 pm,92,99
Los Angeles Lakers,Phoenix Suns,Mon Jan 19 2015,10:00 pm,100,115
Sacramento Kings,Portland Trail Blazers,Mon Jan 19 2015,10:00 pm,94,98
Philadelphia 76ers,Washington Wizards,Mon Jan 19 2015,2:00 pm,76,111
San Antonio Spurs,Denver Nuggets,Tue Jan 20 2015,9:00 pm,109,99
Oklahoma City Thunder,Miami Heat,Tue Jan 20 2015,7:30 pm,94,86
Indiana Pacers,Atlanta Hawks,Wed Jan 21 2015,7:30 pm,91,110
Miami Heat,Charlotte Hornets,Wed Jan 21 2015,7:00 pm,76,78
Utah Jazz,Cleveland Cavaliers,Wed Jan 21 2015,7:00 pm,92,106
Orlando Magic,Detroit Pistons,Wed Jan 21 2015,7:30 pm,118,128
Houston Rockets,Golden State Warriors,Wed Jan 21 2015,10:30 pm,113,126
Toronto Raptors,Memphis Grizzlies,Wed Jan 21 2015,8:00 pm,86,92
Dallas Mavericks,Minnesota Timberwolves,Wed Jan 21 2015,8:00 pm,98,75
Los Angeles Lakers,New Orleans Pelicans,Wed Jan 21 2015,8:00 pm,80,96
New York Knicks,Philadelphia 76ers,Wed Jan 21 2015,7:00 pm,98,91
Portland Trail Blazers,Phoenix Suns,Wed Jan 21 2015,9:00 pm,113,118
Brooklyn Nets,Sacramento Kings,Wed Jan 21 2015,10:00 pm,103,100
Oklahoma City Thunder,Washington Wizards,Wed Jan 21 2015,8:00 pm,105,103
San Antonio Spurs,Chicago Bulls,Thu Jan 22 2015,8:00 pm,81,104
Brooklyn Nets,Los Angeles Clippers,Thu Jan 22 2015,10:30 pm,84,123
Utah Jazz,Milwaukee Bucks,Thu Jan 22 2015,8:00 pm,101,99
Boston Celtics,Portland Trail Blazers,Thu Jan 22 2015,10:00 pm,90,89
Oklahoma City Thunder,Atlanta Hawks,Fri Jan 23 2015,7:30 pm,93,103
Charlotte Hornets,Cleveland Cavaliers,Fri Jan 23 2015,7:30 pm,90,129
Chicago Bulls,Dallas Mavericks,Fri Jan 23 2015,8:00 pm,102,98
Boston Celtics,Denver Nuggets,Fri Jan 23 2015,9:00 pm,100,99
Sacramento Kings,Golden State Warriors,Fri Jan 23 2015,10:30 pm,101,126
Indiana Pacers,Miami Heat,Fri Jan 23 2015,7:30 pm,87,89
New Orleans Pelicans,Minnesota Timberwolves,Fri Jan 23 2015,8:00 pm,92,84
Orlando Magic,New York Knicks,Fri Jan 23 2015,7:30 pm,106,113
Toronto Raptors,Philadelphia 76ers,Fri Jan 23 2015,7:00 pm,91,86
Houston Rockets,Phoenix Suns,Fri Jan 23 2015,9:00 pm,113,111
Los Angeles Lakers,San Antonio Spurs,Fri Jan 23 2015,8:30 pm,85,99
New York Knicks,Charlotte Hornets,Sat Jan 24 2015,7:00 pm,71,76
Philadelphia 76ers,Memphis Grizzlies,Sat Jan 24 2015,8:00 pm,83,101
Detroit Pistons,Milwaukee Bucks,Sat Jan 24 2015,7:30 pm,86,101
Washington Wizards,Portland Trail Blazers,Sat Jan 24 2015,10:00 pm,96,103
Brooklyn Nets,Utah Jazz,Sat Jan 24 2015,9:00 pm,73,108
