Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitors),PTS(Home)
Dallas Mavericks,Oklahoma City Thunder,Wed Jan 13 2016,8:00 pm,89,108
Utah Jazz,Portland Trail Blazers,Wed Jan 13 2016,10:00 pm,85,99
New Orleans Pelicans,Sacramento Kings,Wed Jan 13 2016,10:00 pm,109,97
Milwaukee Bucks,Washington Wizards,Wed Jan 13 2016,7:00 pm,101,106
Los Angeles Lakers,Golden State Warriors,Thu Jan 14 2016,10:30 pm,98,116
Detroit Pistons,Memphis Grizzlies,Thu Jan 14 2016,8:00 pm,101,103
Toronto Raptors,Orlando Magic,Thu Jan 14 2016,3:00 pm,106,103
Chicago Bulls,Philadelphia 76ers,Thu Jan 14 2016,7:00 pm,115,111
Cleveland Cavaliers,San Antonio Spurs,Thu Jan 14 2016,8:00 pm,95,99
Sacramento Kings,Utah Jazz,Thu Jan 14 2016,9:00 pm,103,101
Phoenix Suns,Boston Celtics,Fri Jan 15 2016,7:30 pm,103,117
Portland Trail Blazers,Brooklyn Nets,Fri Jan 15 2016,7:30 pm,116,104
Dallas Mavericks,Chicago Bulls,Fri Jan 15 2016,8:00 pm,83,77
Miami Heat,Denver Nuggets,Fri Jan 15 2016,9:00 pm,98,95
Cleveland Cavaliers,Houston Rockets,Fri Jan 15 2016,9:30 pm,91,77
Washington Wizards,Indiana Pacers,Fri Jan 15 2016,7:00 pm,118,104
Atlanta Hawks,Milwaukee Bucks,Fri Jan 15 2016,8:00 pm,101,108
Charlotte Hornets,New Orleans Pelicans,Fri Jan 15 2016,8:00 pm,107,109
Minnesota Timberwolves,Oklahoma City Thunder,Fri Jan 15 2016,7:00 pm,93,113
Brooklyn Nets,Atlanta Hawks,Sat Jan 16 2016,7:30 pm,86,114
Milwaukee Bucks,Charlotte Hornets,Sat Jan 16 2016,7:00 pm,105,92
Golden State Warriors,Detroit Pistons,Sat Jan 16 2016,7:30 pm,95,113
Sacramento Kings,Los Angeles Clippers,Sat Jan 16 2016,10:30 pm,110,103
New York Knicks,Memphis Grizzlies,Sat Jan 16 2016,8:00 pm,95,103
Portland Trail Blazers,Philadelphia 76ers,Sat Jan 16 2016,7:30 pm,89,114
Los Angeles Lakers,Utah Jazz,Sat Jan 16 2016,9:00 pm,82,109
Boston Celtics,Washington Wizards,Sat Jan 16 2016,7:30 pm,119,117
Indiana Pacers,Denver Nuggets,Sun Jan 17 2016,8:00 pm,126,129
Houston Rockets,Los Angeles Lakers,Sun Jan 17 2016,9:30 pm,112,95
Phoenix Suns,Minnesota Timberwolves,Sun Jan 17 2016,3:30 pm,87,117
Miami Heat,Oklahoma City Thunder,Sun Jan 17 2016,7:00 pm,74,99
Dallas Mavericks,San Antonio Spurs,Sun Jan 17 2016,7:00 pm,83,112
Orlando Magic,Atlanta Hawks,Mon Jan 18 2016,5:00 pm,81,98
Utah Jazz,Charlotte Hornets,Mon Jan 18 2016,2:00 pm,119,124
Golden State Warriors,Cleveland Cavaliers,Mon Jan 18 2016,8:00 pm,132,98
Boston Celtics,Dallas Mavericks,Mon Jan 18 2016,8:30 pm,113,118
Chicago Bulls,Detroit Pistons,Mon Jan 18 2016,3:30 pm,111,101
Houston Rockets,Los Angeles Clippers,Mon Jan 18 2016,10:30 pm,132,140
New Orleans Pelicans,Memphis Grizzlies,Mon Jan 18 2016,2:30 pm,99,101
Philadelphia 76ers,New York Knicks,Mon Jan 18 2016,1:00 pm,113,119
Brooklyn Nets,Toronto Raptors,Mon Jan 18 2016,7:30 pm,100,112
Portland Trail Blazers,Washington Wizards,Mon Jan 18 2016,2:00 pm,108,98
Oklahoma City Thunder,Denver Nuggets,Tue Jan 19 2016,9:00 pm,110,104
Milwaukee Bucks,Miami Heat,Tue Jan 19 2016,7:30 pm,91,79
Minnesota Timberwolves,New Orleans Pelicans,Tue Jan 19 2016,8:00 pm,99,114
Indiana Pacers,Phoenix Suns,Tue Jan 19 2016,9:00 pm,97,94
Cleveland Cavaliers,Brooklyn Nets,Wed Jan 20 2016,7:30 pm,91,78
Golden State Warriors,Chicago Bulls,Wed Jan 20 2016,8:00 pm,125,94
Minnesota Timberwolves,Dallas Mavericks,Wed Jan 20 2016,8:30 pm,94,106
Detroit Pistons,Houston Rockets,Wed Jan 20 2016,8:00 pm,123,114
Sacramento Kings,Los Angeles Lakers,Wed Jan 20 2016,10:30 pm,112,93
Utah Jazz,New York Knicks,Wed Jan 20 2016,7:30 pm,111,118
Charlotte Hornets,Oklahoma City Thunder,Wed Jan 20 2016,8:00 pm,95,109
Philadelphia 76ers,Orlando Magic,Wed Jan 20 2016,7:00 pm,96,87
Atlanta Hawks,Portland Trail Blazers,Wed Jan 20 2016,10:30 pm,104,98
Boston Celtics,Toronto Raptors,Wed Jan 20 2016,7:30 pm,109,115
Miami Heat,Washington Wizards,Wed Jan 20 2016,7:00 pm,87,106
Los Angeles Clippers,Cleveland Cavaliers,Thu Jan 21 2016,8:00 pm,102,115
Memphis Grizzlies,Denver Nuggets,Thu Jan 21 2016,9:00 pm,102,101
Detroit Pistons,New Orleans Pelicans,Thu Jan 21 2016,8:00 pm,99,115
San Antonio Spurs,Phoenix Suns,Thu Jan 21 2016,10:30 pm,117,89
Atlanta Hawks,Sacramento Kings,Thu Jan 21 2016,10:00 pm,88,91
Chicago Bulls,Boston Celtics,Fri Jan 22 2016,7:30 pm,101,110
Utah Jazz,Brooklyn Nets,Fri Jan 22 2016,7:30 pm,108,86
Oklahoma City Thunder,Dallas Mavericks,Fri Jan 22 2016,8:30 pm,109,106
Indiana Pacers,Golden State Warriors,Fri Jan 22 2016,10:30 pm,110,122
Milwaukee Bucks,Houston Rockets,Fri Jan 22 2016,8:00 pm,98,102
San Antonio Spurs,Los Angeles Lakers,Fri Jan 22 2016,10:30 pm,108,95
Los Angeles Clippers,New York Knicks,Fri Jan 22 2016,7:30 pm,116,88
Charlotte Hornets,Orlando Magic,Fri Jan 22 2016,7:00 pm,120,116
Miami Heat,Toronto Raptors,Fri Jan 22 2016,8:00 pm,81,101
New York Knicks,Charlotte Hornets,Sat Jan 23 2016,7:00 pm,84,97
Chicago Bulls,Cleveland Cavaliers,Sat Jan 23 2016,8:30 pm,96,83
Detroit Pistons,Denver Nuggets,Sat Jan 23 2016,9:30 pm,101,104
Memphis Grizzlies,Minnesota Timberwolves,Sat Jan 23 2016,8:00 pm,101,106
Milwaukee Bucks,New Orleans Pelicans,Sat Jan 23 2016,7:00 pm,99,116
Atlanta Hawks,Phoenix Suns,Sat Jan 23 2016,9:00 pm,95,98
Los Angeles Lakers,Portland Trail Blazers,Sat Jan 23 2016,10:30 pm,103,121
Indiana Pacers,Sacramento Kings,Sat Jan 23 2016,10:30 pm,97,108
Oklahoma City Thunder,Brooklyn Nets,Sun Jan 24 2016,7:30 pm,106,116
Dallas Mavericks,Houston Rockets,Sun Jan 24 2016,3:30 pm,104,115
Boston Celtics,Philadelphia 76ers,Sun Jan 24 2016,7:00 pm,112,92
Los Angeles Clippers,Toronto Raptors,Sun Jan 24 2016,6:00 pm,94,112
Miami Heat,Chicago Bulls,Mon Jan 25 2016,8:00 pm,89,84
Minnesota Timberwolves,Cleveland Cavaliers,Mon Jan 25 2016,7:00 pm,107,114
Atlanta Hawks,Denver Nuggets,Mon Jan 25 2016,9:00 pm,119,105
San Antonio Spurs,Golden State Warriors,Mon Jan 25 2016,10:30 pm,90,120
Orlando Magic,Memphis Grizzlies,Mon Jan 25 2016,8:00 pm,102,108
Houston Rockets,New Orleans Pelicans,Mon Jan 25 2016,8:00 pm,112,111
Charlotte Hornets,Sacramento Kings,Mon Jan 25 2016,10:00 pm,129,128
Detroit Pistons,Utah Jazz,Mon Jan 25 2016,9:00 pm,95,92
Boston Celtics,Washington Wizards,Mon Jan 25 2016,7:00 pm,116,91
Miami Heat,Brooklyn Nets,Tue Jan 26 2016,7:30 pm,102,98
Los Angeles Clippers,Indiana Pacers,Tue Jan 26 2016,7:00 pm,91,89
Dallas Mavericks,Los Angeles Lakers,Tue Jan 26 2016,10:30 pm,92,90
Orlando Magic,Milwaukee Bucks,Tue Jan 26 2016,8:00 pm,100,107
Oklahoma City Thunder,New York Knicks,Tue Jan 26 2016,7:30 pm,128,122
Phoenix Suns,Philadelphia 76ers,Tue Jan 26 2016,7:00 pm,103,113
Sacramento Kings,Portland Trail Blazers,Tue Jan 26 2016,10:00 pm,97,112
Washington Wizards,Toronto Raptors,Tue Jan 26 2016,7:30 pm,89,106
Los Angeles Clippers,Atlanta Hawks,Wed Jan 27 2016,8:00 pm,85,83
Denver Nuggets,Boston Celtics,Wed Jan 27 2016,7:30 pm,103,111
Phoenix Suns,Cleveland Cavaliers,Wed Jan 27 2016,7:00 pm,93,115
Philadelphia 76ers,Detroit Pistons,Wed Jan 27 2016,7:30 pm,97,110
Dallas Mavericks,Golden State Warriors,Wed Jan 27 2016,10:30 pm,107,127
Oklahoma City Thunder,Minnesota Timberwolves,Wed Jan 27 2016,8:00 pm,126,123
Houston Rockets,San Antonio Spurs,Wed Jan 27 2016,8:00 pm,99,130
Charlotte Hornets,Utah Jazz,Wed Jan 27 2016,9:00 pm,73,102
Atlanta Hawks,Indiana Pacers,Thu Jan 28 2016,7:00 pm,92,111
Chicago Bulls,Los Angeles Lakers,Thu Jan 28 2016,10:30 pm,114,91
Milwaukee Bucks,Memphis Grizzlies,Thu Jan 28 2016,8:00 pm,83,103
Sacramento Kings,New Orleans Pelicans,Thu Jan 28 2016,8:00 pm,105,114
New York Knicks,Toronto Raptors,Thu Jan 28 2016,8:00 pm,93,103
Denver Nuggets,Washington Wizards,Thu Jan 28 2016,7:00 pm,117,113
Orlando Magic,Boston Celtics,Fri Jan 29 2016,7:30 pm,94,113
Brooklyn Nets,Dallas Mavericks,Fri Jan 29 2016,8:30 pm,79,91
Cleveland Cavaliers,Detroit Pistons,Fri Jan 29 2016,7:30 pm,114,106
Los Angeles Lakers,Los Angeles Clippers,Fri Jan 29 2016,10:30 pm,93,105
Miami Heat,Milwaukee Bucks,Fri Jan 29 2016,8:00 pm,107,103
Phoenix Suns,New York Knicks,Fri Jan 29 2016,7:30 pm,84,102
Houston Rockets,Oklahoma City Thunder,Fri Jan 29 2016,8:00 pm,108,116
Charlotte Hornets,Portland Trail Blazers,Fri Jan 29 2016,10:00 pm,91,109
Minnesota Timberwolves,Utah Jazz,Fri Jan 29 2016,9:00 pm,90,103
San Antonio Spurs,Cleveland Cavaliers,Sat Jan 30 2016,8:30 pm,103,117
Washington Wizards,Houston Rockets,Sat Jan 30 2016,8:00 pm,123,122
Denver Nuggets,Indiana Pacers,Sat Jan 30 2016,7:00 pm,105,109
Sacramento Kings,Memphis Grizzlies,Sat Jan 30 2016,8:00 pm,117,121
Brooklyn Nets,New Orleans Pelicans,Sat Jan 30 2016,7:00 pm,103,105
Golden State Warriors,Philadelphia 76ers,Sat Jan 30 2016,5:00 pm,108,105
Detroit Pistons,Toronto Raptors,Sat Jan 30 2016,6:30 pm,107,111
Phoenix Suns,Dallas Mavericks,Sun Jan 31 2016,7:00 pm,78,91
Chicago Bulls,Los Angeles Clippers,Sun Jan 31 2016,3:30 pm,93,120
Charlotte Hornets,Los Angeles Lakers,Sun Jan 31 2016,9:30 pm,101,82
Atlanta Hawks,Miami Heat,Sun Jan 31 2016,6:00 pm,87,105
Golden State Warriors,New York Knicks,Sun Jan 31 2016,7:30 pm,116,95
Boston Celtics,Orlando Magic,Sun Jan 31 2016,6:00 pm,114,119
Minnesota Timberwolves,Portland Trail Blazers,Sun Jan 31 2016,9:00 pm,93,96
Dallas Mavericks,Atlanta Hawks,Mon Feb 1 2016,8:00 pm,97,112
Detroit Pistons,Brooklyn Nets,Mon Feb 1 2016,7:30 pm,105,100
Toronto Raptors,Denver Nuggets,Mon Feb 1 2016,9:00 pm,93,112
Cleveland Cavaliers,Indiana Pacers,Mon Feb 1 2016,7:00 pm,111,106
Memphis Grizzlies,New Orleans Pelicans,Mon Feb 1 2016,8:00 pm,110,95
Washington Wizards,Oklahoma City Thunder,Mon Feb 1 2016,8:00 pm,98,114
Milwaukee Bucks,Sacramento Kings,Mon Feb 1 2016,10:00 pm,104,111
Orlando Magic,San Antonio Spurs,Mon Feb 1 2016,8:30 pm,92,107
Chicago Bulls,Utah Jazz,Mon Feb 1 2016,9:00 pm,96,105
Miami Heat,Houston Rockets,Tue Feb 2 2016,8:00 pm,102,115
Minnesota Timberwolves,Los Angeles Lakers,Tue Feb 2 2016,10:30 pm,115,119
Boston Celtics,New York Knicks,Tue Feb 2 2016,7:30 pm,97,89
Toronto Raptors,Phoenix Suns,Tue Feb 2 2016,9:00 pm,104,97
Milwaukee Bucks,Portland Trail Blazers,Tue Feb 2 2016,10:00 pm,95,107
Detroit Pistons,Boston Celtics,Wed Feb 3 2016,7:30 pm,95,102
Indiana Pacers,Brooklyn Nets,Wed Feb 3 2016,7:30 pm,114,100
Cleveland Cavaliers,Charlotte Hornets,Wed Feb 3 2016,7:00 pm,97,106
Miami Heat,Dallas Mavericks,Wed Feb 3 2016,8:30 pm,93,90
Minnesota Timberwolves,Los Angeles Clippers,Wed Feb 3 2016,10:30 pm,108,102
Orlando Magic,Oklahoma City Thunder,Wed Feb 3 2016,8:00 pm,114,117
Atlanta Hawks,Philadelphia 76ers,Wed Feb 3 2016,7:00 pm,124,86
Chicago Bulls,Sacramento Kings,Wed Feb 3 2016,10:00 pm,107,102
New Orleans Pelicans,San Antonio Spurs,Wed Feb 3 2016,8:30 pm,97,110
Denver Nuggets,Utah Jazz,Wed Feb 3 2016,9:00 pm,81,85
Golden State Warriors,Washington Wizards,Wed Feb 3 2016,8:00 pm,134,121
New York Knicks,Detroit Pistons,Thu Feb 4 2016,7:00 pm,105,111
Los Angeles Lakers,New Orleans Pelicans,Thu Feb 4 2016,9:30 pm,99,96
Houston Rockets,Phoenix Suns,Thu Feb 4 2016,9:00 pm,111,105
Toronto Raptors,Portland Trail Blazers,Thu Feb 4 2016,10:00 pm,110,103
Indiana Pacers,Atlanta Hawks,Fri Feb 5 2016,7:00 pm,96,102
Sacramento Kings,Brooklyn Nets,Fri Feb 5 2016,7:30 pm,119,128
Miami Heat,Charlotte Hornets,Fri Feb 5 2016,7:00 pm,98,95
Boston Celtics,Cleveland Cavaliers,Fri Feb 5 2016,7:30 pm,104,103
San Antonio Spurs,Dallas Mavericks,Fri Feb 5 2016,9:30 pm,116,90
Chicago Bulls,Denver Nuggets,Fri Feb 5 2016,9:00 pm,110,115
Memphis Grizzlies,New York Knicks,Fri Feb 5 2016,7:30 pm,91,85
Los Angeles Clippers,Orlando Magic,Fri Feb 5 2016,7:00 pm,107,93
Milwaukee Bucks,Utah Jazz,Fri Feb 5 2016,9:00 pm,81,84
Philadelphia 76ers,Washington Wizards,Fri Feb 5 2016,7:00 pm,94,106
Washington Wizards,Charlotte Hornets,Sat Feb 6 2016,7:00 pm,104,108
New Orleans Pelicans,Cleveland Cavaliers,Sat Feb 6 2016,7:30 pm,84,99
Oklahoma City Thunder,Golden State Warriors,Sat Feb 6 2016,9:00 pm,108,116
Portland Trail Blazers,Houston Rockets,Sat Feb 6 2016,5:00 pm,96,79
Detroit Pistons,Indiana Pacers,Sat Feb 6 2016,7:00 pm,104,112
Dallas Mavericks,Memphis Grizzlies,Sat Feb 6 2016,8:00 pm,114,110
Chicago Bulls,Minnesota Timberwolves,Sat Feb 6 2016,8:00 pm,105,112
Brooklyn Nets,Philadelphia 76ers,Sat Feb 6 2016,7:30 pm,98,103
Utah Jazz,Phoenix Suns,Sat Feb 6 2016,9:00 pm,98,89
Los Angeles Lakers,San Antonio Spurs,Sat Feb 6 2016,8:30 pm,102,106
Sacramento Kings,Boston Celtics,Sun Feb 7 2016,1:00 pm,119,128
Los Angeles Clippers,Miami Heat,Sun Feb 7 2016,2:00 pm,100,93
Denver Nuggets,New York Knicks,Sun Feb 7 2016,1:00 pm,101,96
Atlanta Hawks,Orlando Magic,Sun Feb 7 2016,1:00 pm,94,96
Orlando Magic,Atlanta Hawks,Mon Feb 8 2016,8:00 pm,117,110
Denver Nuggets,Brooklyn Nets,Mon Feb 8 2016,7:30 pm,104,105
Chicago Bulls,Charlotte Hornets,Mon Feb 8 2016,7:00 pm,91,108
Sacramento Kings,Cleveland Cavaliers,Mon Feb 8 2016,7:00 pm,100,120
Toronto Raptors,Detroit Pistons,Mon Feb 8 2016,7:30 pm,103,89
Los Angeles Lakers,Indiana Pacers,Mon Feb 8 2016,7:00 pm,87,89
Portland Trail Blazers,Memphis Grizzlies,Mon Feb 8 2016,8:00 pm,112,106
New Orleans Pelicans,Minnesota Timberwolves,Mon Feb 8 2016,8:00 pm,116,102
Los Angeles Clippers,Philadelphia 76ers,Mon Feb 8 2016,7:00 pm,98,92
Oklahoma City Thunder,Phoenix Suns,Mon Feb 8 2016,9:00 pm,122,106
Utah Jazz,Dallas Mavericks,Tue Feb 9 2016,8:30 pm,121,119
Houston Rockets,Golden State Warriors,Tue Feb 9 2016,10:30 pm,110,123
San Antonio Spurs,Miami Heat,Tue Feb 9 2016,8:00 pm,119,101
Boston Celtics,Milwaukee Bucks,Tue Feb 9 2016,8:00 pm,111,112
Washington Wizards,New York Knicks,Tue Feb 9 2016,8:00 pm,111,108
Los Angeles Clippers,Boston Celtics,Wed Feb 10 2016,7:30 pm,134,139
Memphis Grizzlies,Brooklyn Nets,Wed Feb 10 2016,7:30 pm,109,90
Atlanta Hawks,Chicago Bulls,Wed Feb 10 2016,8:00 pm,113,90
Los Angeles Lakers,Cleveland Cavaliers,Wed Feb 10 2016,8:00 pm,111,120
Denver Nuggets,Detroit Pistons,Wed Feb 10 2016,7:30 pm,103,92
Charlotte Hornets,Indiana Pacers,Wed Feb 10 2016,7:00 pm,117,95
Toronto Raptors,Minnesota Timberwolves,Wed Feb 10 2016,8:00 pm,112,117
Utah Jazz,New Orleans Pelicans,Wed Feb 10 2016,8:00 pm,96,100
San Antonio Spurs,Orlando Magic,Wed Feb 10 2016,7:00 pm,98,96
Sacramento Kings,Philadelphia 76ers,Wed Feb 10 2016,7:00 pm,114,110
Golden State Warriors,Phoenix Suns,Wed Feb 10 2016,9:00 pm,112,104
Houston Rockets,Portland Trail Blazers,Wed Feb 10 2016,10:30 pm,103,116
Washington Wizards,Milwaukee Bucks,Thu Feb 11 2016,8:00 pm,92,99
New Orleans Pelicans,Oklahoma City Thunder,Thu Feb 11 2016,8:00 pm,95,121
Chicago Bulls,Cleveland Cavaliers,Thu Feb 18 2016,8:00 pm,95,106
San Antonio Spurs,Los Angeles Clippers,Thu Feb 18 2016,10:30 pm,86,105
Utah Jazz,Washington Wizards,Thu Feb 18 2016,7:00 pm,89,103
Miami Heat,Atlanta Hawks,Fri Feb 19 2016,8:00 pm,115,111
New York Knicks,Brooklyn Nets,Fri Feb 19 2016,7:30 pm,98,109
Toronto Raptors,Chicago Bulls,Fri Feb 19 2016,8:00 pm,106,116
San Antonio Spurs,Los Angeles Lakers,Fri Feb 19 2016,10:30 pm,119,113
Minnesota Timberwolves,Memphis Grizzlies,Fri Feb 19 2016,8:00 pm,104,109
Charlotte Hornets,Milwaukee Bucks,Fri Feb 19 2016,8:00 pm,98,95
Philadelphia 76ers,New Orleans Pelicans,Fri Feb 19 2016,8:00 pm,114,121
Indiana Pacers,Oklahoma City Thunder,Fri Feb 19 2016,8:00 pm,101,98
Dallas Mavericks,Orlando Magic,Fri Feb 19 2016,7:00 pm,104,110
Houston Rockets,Phoenix Suns,Fri Feb 19 2016,9:30 pm,116,100
Golden State Warriors,Portland Trail Blazers,Fri Feb 19 2016,10:00 pm,105,137
Denver Nuggets,Sacramento Kings,Fri Feb 19 2016,10:00 pm,110,116
Boston Celtics,Utah Jazz,Fri Feb 19 2016,10:30 pm,93,111
Detroit Pistons,Washington Wizards,Fri Feb 19 2016,7:00 pm,86,98
Milwaukee Bucks,Atlanta Hawks,Sat Feb 20 2016,7:30 pm,117,109
Golden State Warriors,Los Angeles Clippers,Sat Feb 20 2016,8:30 pm,115,112
Washington Wizards,Miami Heat,Sat Feb 20 2016,7:30 pm,94,114
New York Knicks,Minnesota Timberwolves,Sat Feb 20 2016,8:00 pm,103,95
Charlotte Hornets,Brooklyn Nets,Sun Feb 21 2016,6:00 pm,104,96
Los Angeles Lakers,Chicago Bulls,Sun Feb 21 2016,8:00 pm,115,126
Philadelphia 76ers,Dallas Mavericks,Sun Feb 21 2016,7:00 pm,103,129
Boston Celtics,Denver Nuggets,Sun Feb 21 2016,5:00 pm,121,101
New Orleans Pelicans,Detroit Pistons,Sun Feb 21 2016,3:30 pm,111,106
Cleveland Cavaliers,Oklahoma City Thunder,Sun Feb 21 2016,3:30 pm,115,92
Indiana Pacers,Orlando Magic,Sun Feb 21 2016,6:00 pm,105,102
San Antonio Spurs,Phoenix Suns,Sun Feb 21 2016,5:00 pm,118,111
Utah Jazz,Portland Trail Blazers,Sun Feb 21 2016,9:00 pm,111,115
Memphis Grizzlies,Toronto Raptors,Sun Feb 21 2016,6:00 pm,85,98
Golden State Warriors,Atlanta Hawks,Mon Feb 22 2016,8:00 pm,102,92
Detroit Pistons,Cleveland Cavaliers,Mon Feb 22 2016,7:00 pm,96,88
Phoenix Suns,Los Angeles Clippers,Mon Feb 22 2016,10:30 pm,84,124
Indiana Pacers,Miami Heat,Mon Feb 22 2016,7:30 pm,93,101
Los Angeles Lakers,Milwaukee Bucks,Mon Feb 22 2016,8:00 pm,101,108
Boston Celtics,Minnesota Timberwolves,Mon Feb 22 2016,8:00 pm,122,124
Toronto Raptors,New York Knicks,Mon Feb 22 2016,7:30 pm,122,95
Sacramento Kings,Denver Nuggets,Tue Feb 23 2016,9:00 pm,114,110
Orlando Magic,Philadelphia 76ers,Tue Feb 23 2016,7:00 pm,124,115
Brooklyn Nets,Portland Trail Blazers,Tue Feb 23 2016,10:00 pm,104,112
Houston Rockets,Utah Jazz,Tue Feb 23 2016,9:00 pm,114,117
New Orleans Pelicans,Washington Wizards,Tue Feb 23 2016,7:00 pm,89,109
Washington Wizards,Chicago Bulls,Wed Feb 24 2016,8:00 pm,104,109
Charlotte Hornets,Cleveland Cavaliers,Wed Feb 24 2016,7:00 pm,103,114
Oklahoma City Thunder,Dallas Mavericks,Wed Feb 24 2016,8:30 pm,116,103
Philadelphia 76ers,Detroit Pistons,Wed Feb 24 2016,7:30 pm,91,111
New York Knicks,Indiana Pacers,Wed Feb 24 2016,7:00 pm,105,108
Denver Nuggets,Los Angeles Clippers,Wed Feb 24 2016,10:30 pm,87,81
Los Angeles Lakers,Memphis Grizzlies,Wed Feb 24 2016,8:00 pm,119,128
Golden State Warriors,Miami Heat,Wed Feb 24 2016,7:30 pm,118,112
San Antonio Spurs,Sacramento Kings,Wed Feb 24 2016,10:30 pm,108,92
Minnesota Timberwolves,Toronto Raptors,Wed Feb 24 2016,7:30 pm,105,114
Milwaukee Bucks,Boston Celtics,Thu Feb 25 2016,7:30 pm,107,112
Oklahoma City Thunder,New Orleans Pelicans,Thu Feb 25 2016,8:00 pm,119,123
Golden State Warriors,Orlando Magic,Thu Feb 25 2016,7:00 pm,130,114
Brooklyn Nets,Phoenix Suns,Thu Feb 25 2016,9:00 pm,116,106
Houston Rockets,Portland Trail Blazers,Thu Feb 25 2016,10:30 pm,119,105
San Antonio Spurs,Utah Jazz,Thu Feb 25 2016,10:30 pm,96,78
Chicago Bulls,Atlanta Hawks,Fri Feb 26 2016,8:00 pm,88,103
Denver Nuggets,Dallas Mavericks,Fri Feb 26 2016,8:30 pm,116,122
Charlotte Hornets,Indiana Pacers,Fri Feb 26 2016,7:00 pm,96,95
Memphis Grizzlies,Los Angeles Lakers,Fri Feb 26 2016,10:30 pm,112,95
Orlando Magic,New York Knicks,Fri Feb 26 2016,7:30 pm,95,108
Washington Wizards,Philadelphia 76ers,Fri Feb 26 2016,7:00 pm,103,94
Los Angeles Clippers,Sacramento Kings,Fri Feb 26 2016,10:00 pm,117,107
Cleveland Cavaliers,Toronto Raptors,Fri Feb 26 2016,7:30 pm,97,99
Miami Heat,Boston Celtics,Sat Feb 27 2016,3:00 pm,89,101
Portland Trail Blazers,Chicago Bulls,Sat Feb 27 2016,8:00 pm,103,95
San Antonio Spurs,Houston Rockets,Sat Feb 27 2016,8:00 pm,104,94
Detroit Pistons,Milwaukee Bucks,Sat Feb 27 2016,8:30 pm,102,91
Minnesota Timberwolves,New Orleans Pelicans,Sat Feb 27 2016,7:00 pm,112,110
Golden State Warriors,Oklahoma City Thunder,Sat Feb 27 2016,8:30 pm,121,118
Memphis Grizzlies,Phoenix Suns,Sat Feb 27 2016,9:30 pm,106,111
Brooklyn Nets,Utah Jazz,Sat Feb 27 2016,9:30 pm,98,96
Charlotte Hornets,Atlanta Hawks,Sun Feb 28 2016,3:30 pm,76,87
Minnesota Timberwolves,Dallas Mavericks,Sun Feb 28 2016,7:00 pm,101,128
Toronto Raptors,Detroit Pistons,Sun Feb 28 2016,6:00 pm,101,114
Portland Trail Blazers,Indiana Pacers,Sun Feb 28 2016,6:00 pm,111,102
Miami Heat,New York Knicks,Sun Feb 28 2016,7:30 pm,98,81
Philadelphia 76ers,Orlando Magic,Sun Feb 28 2016,6:00 pm,116,130
Cleveland Cavaliers,Washington Wizards,Sun Feb 28 2016,1:00 pm,99,113
Utah Jazz,Boston Celtics,Mon Feb 29 2016,7:30 pm,95,100
Indiana Pacers,Cleveland Cavaliers,Mon Feb 29 2016,7:00 pm,96,100
Memphis Grizzlies,Denver Nuggets,Mon Feb 29 2016,9:00 pm,103,96
Brooklyn Nets,Los Angeles Clippers,Mon Feb 29 2016,10:30 pm,95,105
Houston Rockets,Milwaukee Bucks,Mon Feb 29 2016,8:00 pm,121,128
Oklahoma City Thunder,Sacramento Kings,Mon Feb 29 2016,10:00 pm,131,116
Philadelphia 76ers,Washington Wizards,Mon Feb 29 2016,7:00 pm,108,116
Phoenix Suns,Charlotte Hornets,Tue Mar 1 2016,7:00 pm,92,126
Orlando Magic,Dallas Mavericks,Tue Mar 1 2016,8:30 pm,108,121
Atlanta Hawks,Golden State Warriors,Tue Mar 1 2016,10:30 pm,105,109
Brooklyn Nets,Los Angeles Lakers,Tue Mar 1 2016,10:30 pm,101,107
Chicago Bulls,Miami Heat,Tue Mar 1 2016,7:30 pm,111,129
Portland Trail Blazers,New York Knicks,Tue Mar 1 2016,7:30 pm,104,85
Portland Trail Blazers,Boston Celtics,Wed Mar 2 2016,7:30 pm,93,116
Los Angeles Lakers,Denver Nuggets,Wed Mar 2 2016,9:00 pm,107,117
New Orleans Pelicans,Houston Rockets,Wed Mar 2 2016,8:00 pm,95,100
Oklahoma City Thunder,Los Angeles Clippers,Wed Mar 2 2016,10:30 pm,98,103
Sacramento Kings,Memphis Grizzlies,Wed Mar 2 2016,8:00 pm,98,104
Indiana Pacers,Milwaukee Bucks,Wed Mar 2 2016,8:00 pm,104,99
Washington Wizards,Minnesota Timberwolves,Wed Mar 2 2016,8:00 pm,104,98
Chicago Bulls,Orlando Magic,Wed Mar 2 2016,7:00 pm,89,102
Charlotte Hornets,Philadelphia 76ers,Wed Mar 2 2016,7:00 pm,119,99
Detroit Pistons,San Antonio Spurs,Wed Mar 2 2016,8:00 pm,81,97
Utah Jazz,Toronto Raptors,Wed Mar 2 2016,7:30 pm,94,104
Sacramento Kings,Dallas Mavericks,Thu Mar 3 2016,8:30 pm,104,101
Oklahoma City Thunder,Golden State Warriors,Thu Mar 3 2016,10:30 pm,106,121
Phoenix Suns,Miami Heat,Thu Mar 3 2016,7:30 pm,92,108
San Antonio Spurs,New Orleans Pelicans,Thu Mar 3 2016,8:00 pm,94,86
New York Knicks,Boston Celtics,Fri Mar 4 2016,7:30 pm,104,105
