Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
Brooklyn Nets,New York Knicks,Fri Oct 27 2017,7:30 pm,86,107
San Antonio Spurs,Orlando Magic,Fri Oct 27 2017,7:00 pm,87,114
Oklahoma City Thunder,Chicago Bulls,Sat Oct 28 2017,8:00 pm,101,69
Philadelphia 76ers,Dallas Mavericks,Sat Oct 28 2017,8:30 pm,112,110
Detroit Pistons,Los Angeles Clippers,Sat Oct 28 2017,10:30 pm,95,87
Houston Rockets,Memphis Grizzlies,Sat Oct 28 2017,8:00 pm,89,103
Boston Celtics,Miami Heat,Sat Oct 28 2017,8:00 pm,96,90
Cleveland Cavaliers,New Orleans Pelicans,Sat Oct 28 2017,7:00 pm,101,123
Phoenix Suns,Portland Trail Blazers,Sat Oct 28 2017,10:00 pm,107,114
Los Angeles Lakers,Utah Jazz,Sat Oct 28 2017,9:00 pm,81,96
Milwaukee Bucks,Atlanta Hawks,Sun Oct 29 2017,3:30 pm,117,106
Denver Nuggets,Brooklyn Nets,Sun Oct 29 2017,6:00 pm,124,111
Orlando Magic,Charlotte Hornets,Sun Oct 29 2017,6:00 pm,113,120
New York Knicks,Cleveland Cavaliers,Sun Oct 29 2017,7:00 pm,114,95
Detroit Pistons,Golden State Warriors,Sun Oct 29 2017,8:30 pm,115,107
San Antonio Spurs,Indiana Pacers,Sun Oct 29 2017,4:30 pm,94,97
Washington Wizards,Sacramento Kings,Sun Oct 29 2017,6:00 pm,110,83
San Antonio Spurs,Boston Celtics,Mon Oct 30 2017,7:30 pm,94,108
Philadelphia 76ers,Houston Rockets,Mon Oct 30 2017,8:00 pm,115,107
Golden State Warriors,Los Angeles Clippers,Mon Oct 30 2017,10:30 pm,141,113
Charlotte Hornets,Memphis Grizzlies,Mon Oct 30 2017,8:00 pm,104,99
Minnesota Timberwolves,Miami Heat,Mon Oct 30 2017,7:30 pm,125,122
Orlando Magic,New Orleans Pelicans,Mon Oct 30 2017,8:00 pm,115,99
Denver Nuggets,New York Knicks,Mon Oct 30 2017,7:30 pm,110,116
Toronto Raptors,Portland Trail Blazers,Mon Oct 30 2017,10:00 pm,99,85
Dallas Mavericks,Utah Jazz,Mon Oct 30 2017,9:00 pm,89,104
Phoenix Suns,Brooklyn Nets,Tue Oct 31 2017,7:30 pm,122,114
Sacramento Kings,Indiana Pacers,Tue Oct 31 2017,7:00 pm,83,101
Detroit Pistons,Los Angeles Lakers,Tue Oct 31 2017,10:30 pm,93,113
Oklahoma City Thunder,Milwaukee Bucks,Tue Oct 31 2017,8:00 pm,110,91
Sacramento Kings,Boston Celtics,Wed Nov 1 2017,7:30 pm,86,113
Milwaukee Bucks,Charlotte Hornets,Wed Nov 1 2017,7:00 pm,121,126
Indiana Pacers,Cleveland Cavaliers,Wed Nov 1 2017,7:00 pm,124,107
Toronto Raptors,Denver Nuggets,Wed Nov 1 2017,9:00 pm,111,129
Dallas Mavericks,Los Angeles Clippers,Wed Nov 1 2017,10:30 pm,98,119
Orlando Magic,Memphis Grizzlies,Wed Nov 1 2017,8:00 pm,101,99
Chicago Bulls,Miami Heat,Wed Nov 1 2017,7:30 pm,91,97
Minnesota Timberwolves,New Orleans Pelicans,Wed Nov 1 2017,8:00 pm,104,98
Houston Rockets,New York Knicks,Wed Nov 1 2017,8:00 pm,119,97
Atlanta Hawks,Philadelphia 76ers,Wed Nov 1 2017,7:00 pm,109,119
Portland Trail Blazers,Utah Jazz,Wed Nov 1 2017,9:00 pm,103,112
Phoenix Suns,Washington Wizards,Wed Nov 1 2017,7:00 pm,122,116
Los Angeles Lakers,Portland Trail Blazers,Thu Nov 2 2017,10:30 pm,110,113
Golden State Warriors,San Antonio Spurs,Thu Nov 2 2017,8:00 pm,112,92
Houston Rockets,Atlanta Hawks,Fri Nov 3 2017,7:30 pm,119,104
New Orleans Pelicans,Dallas Mavericks,Fri Nov 3 2017,8:30 pm,99,94
Miami Heat,Denver Nuggets,Fri Nov 3 2017,9:00 pm,94,95
Milwaukee Bucks,Detroit Pistons,Fri Nov 3 2017,7:00 pm,96,105
Brooklyn Nets,Los Angeles Lakers,Fri Nov 3 2017,10:30 pm,112,124
Phoenix Suns,New York Knicks,Fri Nov 3 2017,7:30 pm,107,120
Boston Celtics,Oklahoma City Thunder,Fri Nov 3 2017,9:30 pm,101,94
Chicago Bulls,Orlando Magic,Fri Nov 3 2017,7:00 pm,105,83
Indiana Pacers,Philadelphia 76ers,Fri Nov 3 2017,7:00 pm,110,121
Charlotte Hornets,San Antonio Spurs,Fri Nov 3 2017,8:30 pm,101,108
Toronto Raptors,Utah Jazz,Fri Nov 3 2017,9:00 pm,109,100
Cleveland Cavaliers,Washington Wizards,Fri Nov 3 2017,7:00 pm,130,122
New Orleans Pelicans,Chicago Bulls,Sat Nov 4 2017,8:00 pm,96,90
Golden State Warriors,Denver Nuggets,Sat Nov 4 2017,9:00 pm,127,108
Sacramento Kings,Detroit Pistons,Sat Nov 4 2017,7:00 pm,99,108
Memphis Grizzlies,Los Angeles Clippers,Sat Nov 4 2017,3:30 pm,113,104
Dallas Mavericks,Minnesota Timberwolves,Sat Nov 4 2017,8:00 pm,99,112
Atlanta Hawks,Cleveland Cavaliers,Sun Nov 5 2017,3:00 pm,117,115
Utah Jazz,Houston Rockets,Sun Nov 5 2017,7:00 pm,110,137
Miami Heat,Los Angeles Clippers,Sun Nov 5 2017,3:30 pm,104,101
Memphis Grizzlies,Los Angeles Lakers,Sun Nov 5 2017,9:30 pm,102,107
Charlotte Hornets,Minnesota Timberwolves,Sun Nov 5 2017,8:00 pm,94,112
Indiana Pacers,New York Knicks,Sun Nov 5 2017,7:30 pm,101,108
Boston Celtics,Orlando Magic,Sun Nov 5 2017,6:00 pm,104,88
Oklahoma City Thunder,Portland Trail Blazers,Sun Nov 5 2017,9:00 pm,99,103
Phoenix Suns,San Antonio Spurs,Sun Nov 5 2017,7:00 pm,95,112
Washington Wizards,Toronto Raptors,Sun Nov 5 2017,6:00 pm,107,96
Boston Celtics,Atlanta Hawks,Mon Nov 6 2017,7:30 pm,110,107
Miami Heat,Golden State Warriors,Mon Nov 6 2017,10:30 pm,80,97
Brooklyn Nets,Phoenix Suns,Mon Nov 6 2017,9:00 pm,98,92
Milwaukee Bucks,Cleveland Cavaliers,Tue Nov 7 2017,7:00 pm,119,124
Brooklyn Nets,Denver Nuggets,Tue Nov 7 2017,9:00 pm,104,112
New Orleans Pelicans,Indiana Pacers,Tue Nov 7 2017,7:00 pm,117,112
Charlotte Hornets,New York Knicks,Tue Nov 7 2017,7:30 pm,113,118
Memphis Grizzlies,Portland Trail Blazers,Tue Nov 7 2017,10:00 pm,98,97
Oklahoma City Thunder,Sacramento Kings,Tue Nov 7 2017,10:00 pm,86,94
Los Angeles Clippers,San Antonio Spurs,Tue Nov 7 2017,8:30 pm,107,120
Chicago Bulls,Toronto Raptors,Tue Nov 7 2017,7:30 pm,114,119
Philadelphia 76ers,Utah Jazz,Tue Nov 7 2017,9:00 pm,104,97
Dallas Mavericks,Washington Wizards,Tue Nov 7 2017,7:00 pm,113,99
Los Angeles Lakers,Boston Celtics,Wed Nov 8 2017,8:00 pm,96,107
Indiana Pacers,Detroit Pistons,Wed Nov 8 2017,7:00 pm,97,114
Minnesota Timberwolves,Golden State Warriors,Wed Nov 8 2017,10:30 pm,101,125
New York Knicks,Orlando Magic,Wed Nov 8 2017,7:00 pm,99,112
Miami Heat,Phoenix Suns,Wed Nov 8 2017,9:00 pm,126,115
Oklahoma City Thunder,Denver Nuggets,Thu Nov 9 2017,10:30 pm,94,102
Cleveland Cavaliers,Houston Rockets,Thu Nov 9 2017,8:00 pm,113,117
Philadelphia 76ers,Sacramento Kings,Thu Nov 9 2017,10:00 pm,108,109
New Orleans Pelicans,Toronto Raptors,Thu Nov 9 2017,7:30 pm,118,122
Los Angeles Lakers,Washington Wizards,Thu Nov 9 2017,7:00 pm,95,111
Charlotte Hornets,Boston Celtics,Fri Nov 10 2017,7:30 pm,87,90
Indiana Pacers,Chicago Bulls,Fri Nov 10 2017,8:00 pm,105,87
Atlanta Hawks,Detroit Pistons,Fri Nov 10 2017,7:00 pm,104,111
Los Angeles Clippers,Oklahoma City Thunder,Fri Nov 10 2017,9:00 pm,111,120
Orlando Magic,Phoenix Suns,Fri Nov 10 2017,9:00 pm,128,112
Brooklyn Nets,Portland Trail Blazers,Fri Nov 10 2017,10:00 pm,101,97
Milwaukee Bucks,San Antonio Spurs,Fri Nov 10 2017,9:00 pm,94,87
Miami Heat,Utah Jazz,Fri Nov 10 2017,9:00 pm,84,74
Cleveland Cavaliers,Dallas Mavericks,Sat Nov 11 2017,8:30 pm,111,104
Orlando Magic,Denver Nuggets,Sat Nov 11 2017,9:00 pm,107,125
Philadelphia 76ers,Golden State Warriors,Sat Nov 11 2017,8:30 pm,114,135
Memphis Grizzlies,Houston Rockets,Sat Nov 11 2017,8:00 pm,96,111
Los Angeles Lakers,Milwaukee Bucks,Sat Nov 11 2017,8:30 pm,90,98
Los Angeles Clippers,New Orleans Pelicans,Sat Nov 11 2017,7:00 pm,103,111
Sacramento Kings,New York Knicks,Sat Nov 11 2017,8:00 pm,91,118
Minnesota Timberwolves,Phoenix Suns,Sat Nov 11 2017,9:00 pm,110,118
Chicago Bulls,San Antonio Spurs,Sat Nov 11 2017,8:30 pm,94,133
Brooklyn Nets,Utah Jazz,Sat Nov 11 2017,9:00 pm,106,114
Atlanta Hawks,Washington Wizards,Sat Nov 11 2017,7:00 pm,94,113
Toronto Raptors,Boston Celtics,Sun Nov 12 2017,3:30 pm,94,95
Miami Heat,Detroit Pistons,Sun Nov 12 2017,4:00 pm,103,112
Houston Rockets,Indiana Pacers,Sun Nov 12 2017,6:00 pm,118,95
Dallas Mavericks,Oklahoma City Thunder,Sun Nov 12 2017,7:00 pm,99,112
Orlando Magic,Golden State Warriors,Mon Nov 13 2017,10:30 pm,100,110
Philadelphia 76ers,Los Angeles Clippers,Mon Nov 13 2017,10:30 pm,109,105
Memphis Grizzlies,Milwaukee Bucks,Mon Nov 13 2017,8:00 pm,103,110
Atlanta Hawks,New Orleans Pelicans,Mon Nov 13 2017,8:00 pm,105,106
Cleveland Cavaliers,New York Knicks,Mon Nov 13 2017,7:30 pm,104,101
Los Angeles Lakers,Phoenix Suns,Mon Nov 13 2017,9:00 pm,100,93
Denver Nuggets,Portland Trail Blazers,Mon Nov 13 2017,10:00 pm,82,99
Minnesota Timberwolves,Utah Jazz,Mon Nov 13 2017,9:00 pm,109,98
Sacramento Kings,Washington Wizards,Mon Nov 13 2017,7:00 pm,92,110
Boston Celtics,Brooklyn Nets,Tue Nov 14 2017,7:30 pm,109,102
San Antonio Spurs,Dallas Mavericks,Tue Nov 14 2017,8:30 pm,97,91
Toronto Raptors,Houston Rockets,Tue Nov 14 2017,8:00 pm,129,113
Sacramento Kings,Atlanta Hawks,Wed Nov 15 2017,7:30 pm,80,126
Cleveland Cavaliers,Charlotte Hornets,Wed Nov 15 2017,8:00 pm,115,107
Philadelphia 76ers,Los Angeles Lakers,Wed Nov 15 2017,10:30 pm,115,109
Indiana Pacers,Memphis Grizzlies,Wed Nov 15 2017,8:00 pm,116,113
Washington Wizards,Miami Heat,Wed Nov 15 2017,7:30 pm,102,93
Detroit Pistons,Milwaukee Bucks,Wed Nov 15 2017,8:00 pm,95,99
San Antonio Spurs,Minnesota Timberwolves,Wed Nov 15 2017,8:00 pm,86,98
Toronto Raptors,New Orleans Pelicans,Wed Nov 15 2017,8:00 pm,125,116
Utah Jazz,New York Knicks,Wed Nov 15 2017,7:30 pm,101,106
Chicago Bulls,Oklahoma City Thunder,Wed Nov 15 2017,8:00 pm,79,92
Orlando Magic,Portland Trail Blazers,Wed Nov 15 2017,10:00 pm,94,99
Golden State Warriors,Boston Celtics,Thu Nov 16 2017,8:00 pm,88,92
Houston Rockets,Phoenix Suns,Thu Nov 16 2017,10:30 pm,142,116
Utah Jazz,Brooklyn Nets,Fri Nov 17 2017,7:30 pm,107,118
Charlotte Hornets,Chicago Bulls,Fri Nov 17 2017,8:00 pm,120,123
Los Angeles Clippers,Cleveland Cavaliers,Fri Nov 17 2017,7:30 pm,113,118
Minnesota Timberwolves,Dallas Mavericks,Fri Nov 17 2017,8:30 pm,111,87
New Orleans Pelicans,Denver Nuggets,Fri Nov 17 2017,10:30 pm,114,146
Detroit Pistons,Indiana Pacers,Fri Nov 17 2017,7:00 pm,100,107
Phoenix Suns,Los Angeles Lakers,Fri Nov 17 2017,10:30 pm,122,113
Portland Trail Blazers,Sacramento Kings,Fri Nov 17 2017,10:00 pm,82,86
Oklahoma City Thunder,San Antonio Spurs,Fri Nov 17 2017,8:00 pm,101,104
New York Knicks,Toronto Raptors,Fri Nov 17 2017,7:30 pm,84,107
Miami Heat,Washington Wizards,Fri Nov 17 2017,7:00 pm,91,88
Boston Celtics,Atlanta Hawks,Sat Nov 18 2017,7:30 pm,110,99
Los Angeles Clippers,Charlotte Hornets,Sat Nov 18 2017,7:00 pm,87,102
Milwaukee Bucks,Dallas Mavericks,Sat Nov 18 2017,9:00 pm,79,111
Houston Rockets,Memphis Grizzlies,Sat Nov 18 2017,8:00 pm,105,83
Utah Jazz,Orlando Magic,Sat Nov 18 2017,7:00 pm,125,85
Golden State Warriors,Philadelphia 76ers,Sat Nov 18 2017,7:30 pm,124,116
Sacramento Kings,Portland Trail Blazers,Sat Nov 18 2017,10:00 pm,90,102
Golden State Warriors,Brooklyn Nets,Sun Nov 19 2017,6:00 pm,118,111
Denver Nuggets,Los Angeles Lakers,Sun Nov 19 2017,9:30 pm,109,127
Indiana Pacers,Miami Heat,Sun Nov 19 2017,5:00 pm,120,95
Detroit Pistons,Minnesota Timberwolves,Sun Nov 19 2017,7:00 pm,100,97
Chicago Bulls,Phoenix Suns,Sun Nov 19 2017,8:00 pm,105,113
Washington Wizards,Toronto Raptors,Sun Nov 19 2017,3:30 pm,91,100
Minnesota Timberwolves,Charlotte Hornets,Mon Nov 20 2017,7:00 pm,102,118
Boston Celtics,Dallas Mavericks,Mon Nov 20 2017,8:30 pm,110,102
Cleveland Cavaliers,Detroit Pistons,Mon Nov 20 2017,7:00 pm,116,88
Portland Trail Blazers,Memphis Grizzlies,Mon Nov 20 2017,8:00 pm,100,92
Washington Wizards,Milwaukee Bucks,Mon Nov 20 2017,8:00 pm,99,88
Oklahoma City Thunder,New Orleans Pelicans,Mon Nov 20 2017,8:00 pm,107,114
Los Angeles Clippers,New York Knicks,Mon Nov 20 2017,7:30 pm,85,107
Indiana Pacers,Orlando Magic,Mon Nov 20 2017,7:00 pm,105,97
Utah Jazz,Philadelphia 76ers,Mon Nov 20 2017,7:00 pm,86,107
Denver Nuggets,Sacramento Kings,Mon Nov 20 2017,10:00 pm,114,98
Atlanta Hawks,San Antonio Spurs,Mon Nov 20 2017,8:30 pm,85,96
Chicago Bulls,Los Angeles Lakers,Tue Nov 21 2017,10:30 pm,94,103
Los Angeles Clippers,Atlanta Hawks,Wed Nov 22 2017,7:30 pm,116,103
Washington Wizards,Charlotte Hornets,Wed Nov 22 2017,7:00 pm,124,129
Brooklyn Nets,Cleveland Cavaliers,Wed Nov 22 2017,7:00 pm,109,119
Denver Nuggets,Houston Rockets,Wed Nov 22 2017,8:00 pm,95,125
Dallas Mavericks,Memphis Grizzlies,Wed Nov 22 2017,8:00 pm,95,94
Boston Celtics,Miami Heat,Wed Nov 22 2017,7:30 pm,98,104
Orlando Magic,Minnesota Timberwolves,Wed Nov 22 2017,8:00 pm,118,124
San Antonio Spurs,New Orleans Pelicans,Wed Nov 22 2017,8:00 pm,90,107
Toronto Raptors,New York Knicks,Wed Nov 22 2017,7:30 pm,100,108
Golden State Warriors,Oklahoma City Thunder,Wed Nov 22 2017,8:00 pm,91,108
Portland Trail Blazers,Philadelphia 76ers,Wed Nov 22 2017,7:00 pm,81,101
Milwaukee Bucks,Phoenix Suns,Wed Nov 22 2017,9:00 pm,113,107
Los Angeles Lakers,Sacramento Kings,Wed Nov 22 2017,10:30 pm,102,113
Chicago Bulls,Utah Jazz,Wed Nov 22 2017,9:00 pm,80,110
New York Knicks,Atlanta Hawks,Fri Nov 24 2017,7:30 pm,104,116
Orlando Magic,Boston Celtics,Fri Nov 24 2017,7:30 pm,103,118
Portland Trail Blazers,Brooklyn Nets,Fri Nov 24 2017,12:00 pm,127,125
Charlotte Hornets,Cleveland Cavaliers,Fri Nov 24 2017,8:00 pm,99,100
Memphis Grizzlies,Denver Nuggets,Fri Nov 24 2017,9:00 pm,92,104
Chicago Bulls,Golden State Warriors,Fri Nov 24 2017,10:30 pm,94,143
Toronto Raptors,Indiana Pacers,Fri Nov 24 2017,8:00 pm,104,107
Miami Heat,Minnesota Timberwolves,Fri Nov 24 2017,8:00 pm,109,97
Detroit Pistons,Oklahoma City Thunder,Fri Nov 24 2017,8:00 pm,99,98
New Orleans Pelicans,Phoenix Suns,Fri Nov 24 2017,9:00 pm,115,91
Toronto Raptors,Atlanta Hawks,Sat Nov 25 2017,7:30 pm,112,78
San Antonio Spurs,Charlotte Hornets,Sat Nov 25 2017,7:00 pm,106,86
Oklahoma City Thunder,Dallas Mavericks,Sat Nov 25 2017,8:30 pm,81,97
New Orleans Pelicans,Golden State Warriors,Sat Nov 25 2017,8:30 pm,95,110
New York Knicks,Houston Rockets,Sat Nov 25 2017,8:00 pm,102,117
Boston Celtics,Indiana Pacers,Sat Nov 25 2017,8:00 pm,108,98
Orlando Magic,Philadelphia 76ers,Sat Nov 25 2017,7:00 pm,111,130
Los Angeles Clippers,Sacramento Kings,Sat Nov 25 2017,10:00 pm,97,95
Milwaukee Bucks,Utah Jazz,Sat Nov 25 2017,9:00 pm,108,121
Portland Trail Blazers,Washington Wizards,Sat Nov 25 2017,7:00 pm,108,105
Miami Heat,Chicago Bulls,Sun Nov 26 2017,3:30 pm,100,93
Brooklyn Nets,Memphis Grizzlies,Sun Nov 26 2017,6:00 pm,98,88
Phoenix Suns,Minnesota Timberwolves,Sun Nov 26 2017,3:30 pm,108,119
Detroit Pistons,Boston Celtics,Mon Nov 27 2017,7:30 pm,118,108
Sacramento Kings,Golden State Warriors,Mon Nov 27 2017,10:30 pm,110,106
Brooklyn Nets,Houston Rockets,Mon Nov 27 2017,8:00 pm,103,117
Orlando Magic,Indiana Pacers,Mon Nov 27 2017,7:00 pm,109,121
Los Angeles Lakers,Los Angeles Clippers,Mon Nov 27 2017,10:30 pm,115,120
Portland Trail Blazers,New York Knicks,Mon Nov 27 2017,7:30 pm,103,91
Cleveland Cavaliers,Philadelphia 76ers,Mon Nov 27 2017,7:00 pm,113,91
Dallas Mavericks,San Antonio Spurs,Mon Nov 27 2017,8:30 pm,108,115
Phoenix Suns,Chicago Bulls,Tue Nov 28 2017,8:00 pm,104,99
Miami Heat,Cleveland Cavaliers,Tue Nov 28 2017,7:00 pm,97,108
Washington Wizards,Minnesota Timberwolves,Tue Nov 28 2017,8:00 pm,92,89
Milwaukee Bucks,Sacramento Kings,Tue Nov 28 2017,10:00 pm,112,87
Denver Nuggets,Utah Jazz,Tue Nov 28 2017,10:00 pm,77,106
Brooklyn Nets,Dallas Mavericks,Wed Nov 29 2017,8:30 pm,109,104
Phoenix Suns,Detroit Pistons,Wed Nov 29 2017,7:00 pm,107,131
Indiana Pacers,Houston Rockets,Wed Nov 29 2017,8:00 pm,97,118
Golden State Warriors,Los Angeles Lakers,Wed Nov 29 2017,10:30 pm,127,123
Minnesota Timberwolves,New Orleans Pelicans,Wed Nov 29 2017,8:00 pm,120,102
Miami Heat,New York Knicks,Wed Nov 29 2017,7:30 pm,86,115
Oklahoma City Thunder,Orlando Magic,Wed Nov 29 2017,7:00 pm,108,121
Washington Wizards,Philadelphia 76ers,Wed Nov 29 2017,7:00 pm,113,118
Memphis Grizzlies,San Antonio Spurs,Wed Nov 29 2017,8:30 pm,95,104
Charlotte Hornets,Toronto Raptors,Wed Nov 29 2017,7:30 pm,113,126
Cleveland Cavaliers,Atlanta Hawks,Thu Nov 30 2017,7:30 pm,121,114
Philadelphia 76ers,Boston Celtics,Thu Nov 30 2017,7:30 pm,97,108
Chicago Bulls,Denver Nuggets,Thu Nov 30 2017,9:00 pm,110,111
Utah Jazz,Los Angeles Clippers,Thu Nov 30 2017,10:30 pm,126,107
Milwaukee Bucks,Portland Trail Blazers,Thu Nov 30 2017,10:00 pm,103,91
Sacramento Kings,Chicago Bulls,Fri Dec 1 2017,8:00 pm,107,106
San Antonio Spurs,Memphis Grizzlies,Fri Dec 1 2017,8:00 pm,95,79
Charlotte Hornets,Miami Heat,Fri Dec 1 2017,8:00 pm,100,105
Minnesota Timberwolves,Oklahoma City Thunder,Fri Dec 1 2017,8:00 pm,107,111
Golden State Warriors,Orlando Magic,Fri Dec 1 2017,7:00 pm,133,112
Indiana Pacers,Toronto Raptors,Fri Dec 1 2017,7:30 pm,115,120
New Orleans Pelicans,Utah Jazz,Fri Dec 1 2017,9:00 pm,108,114
Detroit Pistons,Washington Wizards,Fri Dec 1 2017,7:00 pm,91,109
Phoenix Suns,Boston Celtics,Sat Dec 2 2017,1:00 pm,111,116
Atlanta Hawks,Brooklyn Nets,Sat Dec 2 2017,3:00 pm,114,102
Memphis Grizzlies,Cleveland Cavaliers,Sat Dec 2 2017,7:30 pm,111,116
Los Angeles Clippers,Dallas Mavericks,Sat Dec 2 2017,2:00 pm,82,108
