Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
Los Angeles Lakers,Denver Nuggets,Sat Dec 2 2017,9:00 pm,100,115
Sacramento Kings,Milwaukee Bucks,Sat Dec 2 2017,8:30 pm,104,109
Detroit Pistons,Philadelphia 76ers,Sat Dec 2 2017,7:30 pm,103,108
New Orleans Pelicans,Portland Trail Blazers,Sat Dec 2 2017,10:00 pm,123,116
Houston Rockets,Los Angeles Lakers,Sun Dec 3 2017,9:30 pm,118,95
Golden State Warriors,Miami Heat,Sun Dec 3 2017,7:00 pm,123,95
Los Angeles Clippers,Minnesota Timberwolves,Sun Dec 3 2017,7:00 pm,106,112
Orlando Magic,New York Knicks,Sun Dec 3 2017,3:30 pm,105,100
San Antonio Spurs,Oklahoma City Thunder,Sun Dec 3 2017,7:00 pm,87,90
Brooklyn Nets,Atlanta Hawks,Mon Dec 4 2017,7:30 pm,110,90
Milwaukee Bucks,Boston Celtics,Mon Dec 4 2017,7:30 pm,100,111
Cleveland Cavaliers,Chicago Bulls,Mon Dec 4 2017,8:00 pm,113,91
Orlando Magic,Charlotte Hornets,Mon Dec 4 2017,7:00 pm,94,104
Denver Nuggets,Dallas Mavericks,Mon Dec 4 2017,8:30 pm,105,122
New York Knicks,Indiana Pacers,Mon Dec 4 2017,7:00 pm,97,115
Minnesota Timberwolves,Memphis Grizzlies,Mon Dec 4 2017,8:00 pm,92,95
Golden State Warriors,New Orleans Pelicans,Mon Dec 4 2017,8:00 pm,125,115
Phoenix Suns,Philadelphia 76ers,Mon Dec 4 2017,7:00 pm,115,101
Detroit Pistons,San Antonio Spurs,Mon Dec 4 2017,8:30 pm,93,96
Washington Wizards,Utah Jazz,Mon Dec 4 2017,9:00 pm,69,116
Utah Jazz,Oklahoma City Thunder,Tue Dec 5 2017,8:00 pm,94,100
Washington Wizards,Portland Trail Blazers,Tue Dec 5 2017,10:00 pm,106,92
Phoenix Suns,Toronto Raptors,Tue Dec 5 2017,7:30 pm,113,126
Dallas Mavericks,Boston Celtics,Wed Dec 6 2017,7:30 pm,90,97
Golden State Warriors,Charlotte Hornets,Wed Dec 6 2017,8:00 pm,101,87
Sacramento Kings,Cleveland Cavaliers,Wed Dec 6 2017,7:00 pm,95,101
Chicago Bulls,Indiana Pacers,Wed Dec 6 2017,7:00 pm,96,98
Minnesota Timberwolves,Los Angeles Clippers,Wed Dec 6 2017,10:30 pm,113,107
Detroit Pistons,Milwaukee Bucks,Wed Dec 6 2017,8:00 pm,100,104
Denver Nuggets,New Orleans Pelicans,Wed Dec 6 2017,8:00 pm,114,123
Memphis Grizzlies,New York Knicks,Wed Dec 6 2017,7:30 pm,88,99
Atlanta Hawks,Orlando Magic,Wed Dec 6 2017,7:00 pm,106,110
Miami Heat,San Antonio Spurs,Wed Dec 6 2017,8:30 pm,105,117
Oklahoma City Thunder,Brooklyn Nets,Thu Dec 7 2017,10:00 pm,95,100
Los Angeles Lakers,Philadelphia 76ers,Thu Dec 7 2017,8:00 pm,107,104
Washington Wizards,Phoenix Suns,Thu Dec 7 2017,9:00 pm,109,99
Houston Rockets,Utah Jazz,Thu Dec 7 2017,10:30 pm,112,101
Chicago Bulls,Charlotte Hornets,Fri Dec 8 2017,7:00 pm,119,111
Golden State Warriors,Detroit Pistons,Fri Dec 8 2017,7:00 pm,102,98
Cleveland Cavaliers,Indiana Pacers,Fri Dec 8 2017,7:00 pm,102,106
Toronto Raptors,Memphis Grizzlies,Fri Dec 8 2017,8:00 pm,116,107
Dallas Mavericks,Milwaukee Bucks,Fri Dec 8 2017,8:00 pm,102,109
Sacramento Kings,New Orleans Pelicans,Fri Dec 8 2017,8:00 pm,116,109
Denver Nuggets,Orlando Magic,Fri Dec 8 2017,7:00 pm,103,89
Boston Celtics,San Antonio Spurs,Fri Dec 8 2017,9:30 pm,102,105
Orlando Magic,Atlanta Hawks,Sat Dec 9 2017,7:30 pm,110,117
Miami Heat,Brooklyn Nets,Sat Dec 9 2017,6:00 pm,101,89
New York Knicks,Chicago Bulls,Sat Dec 9 2017,8:00 pm,102,104
Los Angeles Lakers,Charlotte Hornets,Sat Dec 9 2017,7:00 pm,110,99
Philadelphia 76ers,Cleveland Cavaliers,Sat Dec 9 2017,8:00 pm,98,105
Washington Wizards,Los Angeles Clippers,Sat Dec 9 2017,3:30 pm,112,113
Oklahoma City Thunder,Memphis Grizzlies,Sat Dec 9 2017,9:00 pm,102,101
Utah Jazz,Milwaukee Bucks,Sat Dec 9 2017,8:30 pm,100,117
San Antonio Spurs,Phoenix Suns,Sat Dec 9 2017,9:00 pm,104,101
Houston Rockets,Portland Trail Blazers,Sat Dec 9 2017,10:00 pm,124,117
Boston Celtics,Detroit Pistons,Sun Dec 10 2017,4:00 pm,91,81
Denver Nuggets,Indiana Pacers,Sun Dec 10 2017,5:00 pm,116,126
Dallas Mavericks,Minnesota Timberwolves,Sun Dec 10 2017,7:00 pm,92,97
Philadelphia 76ers,New Orleans Pelicans,Sun Dec 10 2017,7:00 pm,124,131
Atlanta Hawks,New York Knicks,Sun Dec 10 2017,7:30 pm,107,111
Toronto Raptors,Sacramento Kings,Sun Dec 10 2017,3:30 pm,102,87
Boston Celtics,Chicago Bulls,Mon Dec 11 2017,8:00 pm,85,108
Portland Trail Blazers,Golden State Warriors,Mon Dec 11 2017,10:30 pm,104,111
New Orleans Pelicans,Houston Rockets,Mon Dec 11 2017,8:00 pm,123,130
Toronto Raptors,Los Angeles Clippers,Mon Dec 11 2017,10:30 pm,91,96
Miami Heat,Memphis Grizzlies,Mon Dec 11 2017,8:00 pm,107,82
Charlotte Hornets,Oklahoma City Thunder,Mon Dec 11 2017,8:00 pm,116,103
Washington Wizards,Brooklyn Nets,Tue Dec 12 2017,7:30 pm,98,103
Atlanta Hawks,Cleveland Cavaliers,Tue Dec 12 2017,7:00 pm,114,123
San Antonio Spurs,Dallas Mavericks,Tue Dec 12 2017,8:30 pm,89,95
Denver Nuggets,Detroit Pistons,Tue Dec 12 2017,7:00 pm,103,84
Philadelphia 76ers,Minnesota Timberwolves,Tue Dec 12 2017,9:30 pm,118,112
Los Angeles Lakers,New York Knicks,Tue Dec 12 2017,7:00 pm,109,113
Phoenix Suns,Sacramento Kings,Tue Dec 12 2017,10:00 pm,92,99
Denver Nuggets,Boston Celtics,Wed Dec 13 2017,7:30 pm,118,124
Utah Jazz,Chicago Bulls,Wed Dec 13 2017,8:00 pm,100,103
Charlotte Hornets,Houston Rockets,Wed Dec 13 2017,9:30 pm,96,108
Oklahoma City Thunder,Indiana Pacers,Wed Dec 13 2017,7:00 pm,100,95
Portland Trail Blazers,Miami Heat,Wed Dec 13 2017,7:30 pm,102,95
Milwaukee Bucks,New Orleans Pelicans,Wed Dec 13 2017,8:00 pm,108,115
Los Angeles Clippers,Orlando Magic,Wed Dec 13 2017,7:00 pm,106,95
Toronto Raptors,Phoenix Suns,Wed Dec 13 2017,9:00 pm,115,109
Memphis Grizzlies,Washington Wizards,Wed Dec 13 2017,7:00 pm,87,93
Detroit Pistons,Atlanta Hawks,Thu Dec 14 2017,7:30 pm,105,91
New York Knicks,Brooklyn Nets,Thu Dec 14 2017,7:30 pm,111,104
Los Angeles Lakers,Cleveland Cavaliers,Thu Dec 14 2017,8:00 pm,112,121
Dallas Mavericks,Golden State Warriors,Thu Dec 14 2017,10:30 pm,97,112
Sacramento Kings,Minnesota Timberwolves,Thu Dec 14 2017,8:00 pm,96,119
Utah Jazz,Boston Celtics,Fri Dec 15 2017,7:30 pm,107,95
Miami Heat,Charlotte Hornets,Fri Dec 15 2017,7:00 pm,104,98
New Orleans Pelicans,Denver Nuggets,Fri Dec 15 2017,9:00 pm,111,117
San Antonio Spurs,Houston Rockets,Fri Dec 15 2017,9:30 pm,109,124
Detroit Pistons,Indiana Pacers,Fri Dec 15 2017,7:00 pm,104,98
Atlanta Hawks,Memphis Grizzlies,Fri Dec 15 2017,8:00 pm,94,96
Chicago Bulls,Milwaukee Bucks,Fri Dec 15 2017,8:00 pm,115,109
Portland Trail Blazers,Orlando Magic,Fri Dec 15 2017,7:00 pm,95,88
Oklahoma City Thunder,Philadelphia 76ers,Fri Dec 15 2017,7:00 pm,119,117
Brooklyn Nets,Toronto Raptors,Fri Dec 15 2017,7:30 pm,87,120
Los Angeles Clippers,Washington Wizards,Fri Dec 15 2017,7:00 pm,91,100
Portland Trail Blazers,Charlotte Hornets,Sat Dec 16 2017,7:00 pm,93,91
Utah Jazz,Cleveland Cavaliers,Sat Dec 16 2017,7:30 pm,100,109
Milwaukee Bucks,Houston Rockets,Sat Dec 16 2017,8:00 pm,111,115
Boston Celtics,Memphis Grizzlies,Sat Dec 16 2017,9:00 pm,102,93
Los Angeles Clippers,Miami Heat,Sat Dec 16 2017,8:00 pm,85,90
Phoenix Suns,Minnesota Timberwolves,Sat Dec 16 2017,8:00 pm,108,106
Oklahoma City Thunder,New York Knicks,Sat Dec 16 2017,7:30 pm,96,111
Dallas Mavericks,San Antonio Spurs,Sat Dec 16 2017,8:30 pm,96,98
Indiana Pacers,Brooklyn Nets,Sun Dec 17 2017,6:00 pm,109,97
Orlando Magic,Detroit Pistons,Sun Dec 17 2017,4:00 pm,110,114
Sacramento Kings,Toronto Raptors,Sun Dec 17 2017,3:30 pm,93,108
Cleveland Cavaliers,Washington Wizards,Sun Dec 17 2017,6:00 pm,106,99
Miami Heat,Atlanta Hawks,Mon Dec 18 2017,7:30 pm,104,110
Philadelphia 76ers,Chicago Bulls,Mon Dec 18 2017,8:00 pm,115,117
New York Knicks,Charlotte Hornets,Mon Dec 18 2017,7:00 pm,91,109
Phoenix Suns,Dallas Mavericks,Mon Dec 18 2017,8:30 pm,97,91
Utah Jazz,Houston Rockets,Mon Dec 18 2017,8:00 pm,99,120
Boston Celtics,Indiana Pacers,Mon Dec 18 2017,7:00 pm,112,111
Golden State Warriors,Los Angeles Lakers,Mon Dec 18 2017,10:30 pm,116,114
Portland Trail Blazers,Minnesota Timberwolves,Mon Dec 18 2017,8:00 pm,107,108
Denver Nuggets,Oklahoma City Thunder,Mon Dec 18 2017,8:00 pm,94,95
Los Angeles Clippers,San Antonio Spurs,Mon Dec 18 2017,8:30 pm,91,109
Cleveland Cavaliers,Milwaukee Bucks,Tue Dec 19 2017,8:00 pm,116,119
Sacramento Kings,Philadelphia 76ers,Tue Dec 19 2017,7:00 pm,101,95
New Orleans Pelicans,Washington Wizards,Tue Dec 19 2017,7:00 pm,106,116
Indiana Pacers,Atlanta Hawks,Wed Dec 20 2017,7:30 pm,105,95
Miami Heat,Boston Celtics,Wed Dec 20 2017,7:30 pm,90,89
Sacramento Kings,Brooklyn Nets,Wed Dec 20 2017,7:30 pm,104,99
Orlando Magic,Chicago Bulls,Wed Dec 20 2017,8:00 pm,94,112
Toronto Raptors,Charlotte Hornets,Wed Dec 20 2017,7:00 pm,129,111
Detroit Pistons,Dallas Mavericks,Wed Dec 20 2017,8:30 pm,93,110
Minnesota Timberwolves,Denver Nuggets,Wed Dec 20 2017,9:00 pm,112,104
Memphis Grizzlies,Golden State Warriors,Wed Dec 20 2017,10:30 pm,84,97
Los Angeles Lakers,Houston Rockets,Wed Dec 20 2017,8:00 pm,122,116
Phoenix Suns,Los Angeles Clippers,Wed Dec 20 2017,10:30 pm,95,108
Utah Jazz,Oklahoma City Thunder,Wed Dec 20 2017,8:00 pm,79,107
San Antonio Spurs,Portland Trail Blazers,Wed Dec 20 2017,10:00 pm,93,91
Chicago Bulls,Cleveland Cavaliers,Thu Dec 21 2017,7:00 pm,112,115
Boston Celtics,New York Knicks,Thu Dec 21 2017,8:00 pm,93,102
Toronto Raptors,Philadelphia 76ers,Thu Dec 21 2017,7:00 pm,114,109
Memphis Grizzlies,Phoenix Suns,Thu Dec 21 2017,9:00 pm,95,97
San Antonio Spurs,Utah Jazz,Thu Dec 21 2017,10:30 pm,89,100
Washington Wizards,Brooklyn Nets,Fri Dec 22 2017,7:30 pm,84,119
New York Knicks,Detroit Pistons,Fri Dec 22 2017,7:00 pm,101,104
Los Angeles Lakers,Golden State Warriors,Fri Dec 22 2017,10:30 pm,106,113
Los Angeles Clippers,Houston Rockets,Fri Dec 22 2017,8:00 pm,128,118
Dallas Mavericks,Miami Heat,Fri Dec 22 2017,8:00 pm,101,113
Charlotte Hornets,Milwaukee Bucks,Fri Dec 22 2017,8:00 pm,104,109
Atlanta Hawks,Oklahoma City Thunder,Fri Dec 22 2017,8:00 pm,117,120
New Orleans Pelicans,Orlando Magic,Fri Dec 22 2017,7:00 pm,111,97
Denver Nuggets,Portland Trail Blazers,Fri Dec 22 2017,10:00 pm,102,85
Dallas Mavericks,Atlanta Hawks,Sat Dec 23 2017,7:30 pm,107,112
Chicago Bulls,Boston Celtics,Sat Dec 23 2017,7:30 pm,92,117
Milwaukee Bucks,Charlotte Hornets,Sat Dec 23 2017,7:00 pm,106,111
Denver Nuggets,Golden State Warriors,Sat Dec 23 2017,8:30 pm,96,81
Brooklyn Nets,Indiana Pacers,Sat Dec 23 2017,7:00 pm,119,123
Portland Trail Blazers,Los Angeles Lakers,Sat Dec 23 2017,9:30 pm,95,92
Los Angeles Clippers,Memphis Grizzlies,Sat Dec 23 2017,8:00 pm,112,115
New Orleans Pelicans,Miami Heat,Sat Dec 23 2017,8:00 pm,109,94
Minnesota Timberwolves,Phoenix Suns,Sat Dec 23 2017,9:00 pm,115,106
San Antonio Spurs,Sacramento Kings,Sat Dec 23 2017,10:00 pm,108,99
Philadelphia 76ers,Toronto Raptors,Sat Dec 23 2017,5:00 pm,86,102
Oklahoma City Thunder,Utah Jazz,Sat Dec 23 2017,8:00 pm,103,89
Orlando Magic,Washington Wizards,Sat Dec 23 2017,7:00 pm,103,130
Washington Wizards,Boston Celtics,Mon Dec 25 2017,5:30 pm,111,103
Cleveland Cavaliers,Golden State Warriors,Mon Dec 25 2017,3:00 pm,92,99
Minnesota Timberwolves,Los Angeles Lakers,Mon Dec 25 2017,10:30 pm,121,104
Philadelphia 76ers,New York Knicks,Mon Dec 25 2017,12:00 pm,105,98
Houston Rockets,Oklahoma City Thunder,Mon Dec 25 2017,8:00 pm,107,112
Toronto Raptors,Dallas Mavericks,Tue Dec 26 2017,7:00 pm,93,98
Utah Jazz,Denver Nuggets,Tue Dec 26 2017,9:00 pm,83,107
Indiana Pacers,Detroit Pistons,Tue Dec 26 2017,7:00 pm,83,107
Sacramento Kings,Los Angeles Clippers,Tue Dec 26 2017,10:30 pm,95,122
Orlando Magic,Miami Heat,Tue Dec 26 2017,7:30 pm,89,107
Chicago Bulls,Milwaukee Bucks,Tue Dec 26 2017,8:00 pm,115,106
Memphis Grizzlies,Phoenix Suns,Tue Dec 26 2017,9:00 pm,97,99
Brooklyn Nets,San Antonio Spurs,Tue Dec 26 2017,8:30 pm,97,109
Washington Wizards,Atlanta Hawks,Wed Dec 27 2017,7:30 pm,99,113
New York Knicks,Chicago Bulls,Wed Dec 27 2017,8:00 pm,87,92
Boston Celtics,Charlotte Hornets,Wed Dec 27 2017,7:00 pm,102,91
Utah Jazz,Golden State Warriors,Wed Dec 27 2017,10:30 pm,101,126
Dallas Mavericks,Indiana Pacers,Wed Dec 27 2017,7:00 pm,98,94
Memphis Grizzlies,Los Angeles Lakers,Wed Dec 27 2017,10:30 pm,109,99
Denver Nuggets,Minnesota Timberwolves,Wed Dec 27 2017,8:00 pm,125,128
Brooklyn Nets,New Orleans Pelicans,Wed Dec 27 2017,8:00 pm,113,128
Toronto Raptors,Oklahoma City Thunder,Wed Dec 27 2017,8:00 pm,107,124
Cleveland Cavaliers,Sacramento Kings,Wed Dec 27 2017,10:00 pm,95,109
Houston Rockets,Boston Celtics,Thu Dec 28 2017,8:00 pm,98,99
Minnesota Timberwolves,Milwaukee Bucks,Thu Dec 28 2017,8:00 pm,96,102
Detroit Pistons,Orlando Magic,Thu Dec 28 2017,7:00 pm,89,102
Philadelphia 76ers,Portland Trail Blazers,Thu Dec 28 2017,10:30 pm,110,114
New York Knicks,San Antonio Spurs,Thu Dec 28 2017,8:30 pm,107,119
Indiana Pacers,Chicago Bulls,Fri Dec 29 2017,8:00 pm,107,119
Charlotte Hornets,Golden State Warriors,Fri Dec 29 2017,10:30 pm,111,100
Los Angeles Clippers,Los Angeles Lakers,Fri Dec 29 2017,10:30 pm,121,106
Brooklyn Nets,Miami Heat,Fri Dec 29 2017,8:00 pm,111,87
Dallas Mavericks,New Orleans Pelicans,Fri Dec 29 2017,8:00 pm,128,120
Milwaukee Bucks,Oklahoma City Thunder,Fri Dec 29 2017,8:00 pm,97,95
Phoenix Suns,Sacramento Kings,Fri Dec 29 2017,10:00 pm,111,101
Atlanta Hawks,Toronto Raptors,Fri Dec 29 2017,7:30 pm,98,111
Houston Rockets,Washington Wizards,Fri Dec 29 2017,7:00 pm,103,121
Portland Trail Blazers,Atlanta Hawks,Sat Dec 30 2017,7:30 pm,89,104
Philadelphia 76ers,Denver Nuggets,Sat Dec 30 2017,9:00 pm,107,102
San Antonio Spurs,Detroit Pistons,Sat Dec 30 2017,7:00 pm,79,93
Memphis Grizzlies,Golden State Warriors,Sat Dec 30 2017,8:30 pm,128,141
New York Knicks,New Orleans Pelicans,Sat Dec 30 2017,7:00 pm,105,103
Miami Heat,Orlando Magic,Sat Dec 30 2017,7:00 pm,117,111
Cleveland Cavaliers,Utah Jazz,Sat Dec 30 2017,8:00 pm,101,104
Brooklyn Nets,Boston Celtics,Sun Dec 31 2017,5:30 pm,105,108
Los Angeles Lakers,Houston Rockets,Sun Dec 31 2017,7:00 pm,142,148
Minnesota Timberwolves,Indiana Pacers,Sun Dec 31 2017,5:00 pm,107,90
Charlotte Hornets,Los Angeles Clippers,Sun Dec 31 2017,7:00 pm,98,106
Dallas Mavericks,Oklahoma City Thunder,Sun Dec 31 2017,7:00 pm,116,113
Philadelphia 76ers,Phoenix Suns,Sun Dec 31 2017,8:00 pm,123,110
Memphis Grizzlies,Sacramento Kings,Sun Dec 31 2017,7:00 pm,114,96
Chicago Bulls,Washington Wizards,Sun Dec 31 2017,3:30 pm,110,114
Orlando Magic,Brooklyn Nets,Mon Jan 1 2018,7:30 pm,95,98
Portland Trail Blazers,Chicago Bulls,Mon Jan 1 2018,8:00 pm,124,120
Los Angeles Lakers,Minnesota Timberwolves,Mon Jan 1 2018,8:00 pm,96,114
Milwaukee Bucks,Toronto Raptors,Mon Jan 1 2018,7:30 pm,127,131
Portland Trail Blazers,Cleveland Cavaliers,Tue Jan 2 2018,7:00 pm,110,127
Memphis Grizzlies,Los Angeles Clippers,Tue Jan 2 2018,10:30 pm,105,113
San Antonio Spurs,New York Knicks,Tue Jan 2 2018,7:30 pm,100,91
Atlanta Hawks,Phoenix Suns,Tue Jan 2 2018,9:00 pm,103,104
Charlotte Hornets,Sacramento Kings,Tue Jan 2 2018,10:00 pm,131,111
Cleveland Cavaliers,Boston Celtics,Wed Jan 3 2018,8:00 pm,88,102
Minnesota Timberwolves,Brooklyn Nets,Wed Jan 3 2018,7:30 pm,97,98
Toronto Raptors,Chicago Bulls,Wed Jan 3 2018,8:00 pm,124,115
Golden State Warriors,Dallas Mavericks,Wed Jan 3 2018,8:30 pm,125,122
Phoenix Suns,Denver Nuggets,Wed Jan 3 2018,9:00 pm,111,134
Oklahoma City Thunder,Los Angeles Lakers,Wed Jan 3 2018,10:30 pm,133,96
Detroit Pistons,Miami Heat,Wed Jan 3 2018,7:30 pm,104,111
Indiana Pacers,Milwaukee Bucks,Wed Jan 3 2018,8:00 pm,101,122
Houston Rockets,Orlando Magic,Wed Jan 3 2018,7:00 pm,116,98
San Antonio Spurs,Philadelphia 76ers,Wed Jan 3 2018,7:00 pm,106,112
New Orleans Pelicans,Utah Jazz,Wed Jan 3 2018,9:00 pm,108,98
New York Knicks,Washington Wizards,Wed Jan 3 2018,7:00 pm,103,121
Golden State Warriors,Houston Rockets,Thu Jan 4 2018,8:00 pm,124,114
Oklahoma City Thunder,Los Angeles Clippers,Thu Jan 4 2018,10:30 pm,127,117
Minnesota Timberwolves,Boston Celtics,Fri Jan 5 2018,7:00 pm,84,91
Chicago Bulls,Dallas Mavericks,Fri Jan 5 2018,8:30 pm,127,124
Utah Jazz,Denver Nuggets,Fri Jan 5 2018,9:00 pm,91,99
Charlotte Hornets,Los Angeles Lakers,Fri Jan 5 2018,10:30 pm,108,94
Washington Wizards,Memphis Grizzlies,Fri Jan 5 2018,9:30 pm,102,100
New York Knicks,Miami Heat,Fri Jan 5 2018,8:00 pm,103,107
Toronto Raptors,Milwaukee Bucks,Fri Jan 5 2018,8:00 pm,129,110
Detroit Pistons,Philadelphia 76ers,Fri Jan 5 2018,7:00 pm,78,114
Atlanta Hawks,Portland Trail Blazers,Fri Jan 5 2018,10:00 pm,89,110
Phoenix Suns,San Antonio Spurs,Fri Jan 5 2018,8:30 pm,89,103
Boston Celtics,Brooklyn Nets,Sat Jan 6 2018,6:00 pm,87,85
Houston Rockets,Detroit Pistons,Sat Jan 6 2018,7:00 pm,101,108
Chicago Bulls,Indiana Pacers,Sat Jan 6 2018,7:00 pm,86,125
Golden State Warriors,Los Angeles Clippers,Sat Jan 6 2018,3:30 pm,121,105
New Orleans Pelicans,Minnesota Timberwolves,Sat Jan 6 2018,9:00 pm,98,116
Cleveland Cavaliers,Orlando Magic,Sat Jan 6 2018,7:00 pm,131,127
Denver Nuggets,Sacramento Kings,Sat Jan 6 2018,10:00 pm,98,106
Milwaukee Bucks,Washington Wizards,Sat Jan 6 2018,8:00 pm,110,103
New York Knicks,Dallas Mavericks,Sun Jan 7 2018,7:00 pm,100,96
Atlanta Hawks,Los Angeles Lakers,Sun Jan 7 2018,9:30 pm,113,132
Utah Jazz,Miami Heat,Sun Jan 7 2018,3:30 pm,102,103
Oklahoma City Thunder,Phoenix Suns,Sun Jan 7 2018,8:00 pm,100,114
San Antonio Spurs,Portland Trail Blazers,Sun Jan 7 2018,9:00 pm,110,111
Toronto Raptors,Brooklyn Nets,Mon Jan 8 2018,7:30 pm,114,113
Houston Rockets,Chicago Bulls,Mon Jan 8 2018,8:00 pm,116,107
Denver Nuggets,Golden State Warriors,Mon Jan 8 2018,10:30 pm,114,124
Milwaukee Bucks,Indiana Pacers,Mon Jan 8 2018,7:00 pm,96,109
Atlanta Hawks,Los Angeles Clippers,Mon Jan 8 2018,10:30 pm,107,108
Cleveland Cavaliers,Minnesota Timberwolves,Mon Jan 8 2018,8:00 pm,99,127
Detroit Pistons,New Orleans Pelicans,Mon Jan 8 2018,8:00 pm,109,112
San Antonio Spurs,Sacramento Kings,Mon Jan 8 2018,10:00 pm,107,100
Orlando Magic,Dallas Mavericks,Tue Jan 9 2018,8:30 pm,99,114
Sacramento Kings,Los Angeles Lakers,Tue Jan 9 2018,10:30 pm,86,99
Portland Trail Blazers,Oklahoma City Thunder,Tue Jan 9 2018,8:00 pm,117,106
Miami Heat,Toronto Raptors,Tue Jan 9 2018,7:30 pm,90,89
Detroit Pistons,Brooklyn Nets,Wed Jan 10 2018,7:30 pm,114,80
Dallas Mavericks,Charlotte Hornets,Wed Jan 10 2018,7:00 pm,115,111
Atlanta Hawks,Denver Nuggets,Wed Jan 10 2018,9:00 pm,110,97
Los Angeles Clippers,Golden State Warriors,Wed Jan 10 2018,10:30 pm,125,106
Portland Trail Blazers,Houston Rockets,Wed Jan 10 2018,8:00 pm,112,121
Miami Heat,Indiana Pacers,Wed Jan 10 2018,7:00 pm,114,106
New Orleans Pelicans,Memphis Grizzlies,Wed Jan 10 2018,8:00 pm,102,105
Orlando Magic,Milwaukee Bucks,Wed Jan 10 2018,8:00 pm,103,110
Oklahoma City Thunder,Minnesota Timberwolves,Wed Jan 10 2018,8:00 pm,88,104
Chicago Bulls,New York Knicks,Wed Jan 10 2018,7:30 pm,122,119
Utah Jazz,Washington Wizards,Wed Jan 10 2018,7:00 pm,107,104
San Antonio Spurs,Los Angeles Lakers,Thu Jan 11 2018,10:30 pm,81,93
Boston Celtics,Philadelphia 76ers,Thu Jan 11 2018,3:00 pm,114,103
Los Angeles Clippers,Sacramento Kings,Thu Jan 11 2018,10:00 pm,121,115
Cleveland Cavaliers,Toronto Raptors,Thu Jan 11 2018,8:00 pm,99,133
Brooklyn Nets,Atlanta Hawks,Fri Jan 12 2018,7:30 pm,110,105
Utah Jazz,Charlotte Hornets,Fri Jan 12 2018,7:00 pm,88,99
Memphis Grizzlies,Denver Nuggets,Fri Jan 12 2018,9:00 pm,78,87
Cleveland Cavaliers,Indiana Pacers,Fri Jan 12 2018,7:00 pm,95,97
Golden State Warriors,Milwaukee Bucks,Fri Jan 12 2018,8:00 pm,108,94
New York Knicks,Minnesota Timberwolves,Fri Jan 12 2018,8:00 pm,108,118
Portland Trail Blazers,New Orleans Pelicans,Fri Jan 12 2018,8:00 pm,113,119
Houston Rockets,Phoenix Suns,Fri Jan 12 2018,10:30 pm,112,95
Orlando Magic,Washington Wizards,Fri Jan 12 2018,7:00 pm,119,125
Detroit Pistons,Chicago Bulls,Sat Jan 13 2018,8:00 pm,105,107
Oklahoma City Thunder,Charlotte Hornets,Sat Jan 13 2018,5:00 pm,101,91
Los Angeles Lakers,Dallas Mavericks,Sat Jan 13 2018,2:00 pm,107,101
Sacramento Kings,Los Angeles Clippers,Sat Jan 13 2018,3:30 pm,105,126
Denver Nuggets,San Antonio Spurs,Sat Jan 13 2018,8:30 pm,80,112
Golden State Warriors,Toronto Raptors,Sat Jan 13 2018,7:30 pm,127,125
Brooklyn Nets,Washington Wizards,Sat Jan 13 2018,7:00 pm,113,119
Milwaukee Bucks,Miami Heat,Sun Jan 14 2018,1:00 pm,79,97
Portland Trail Blazers,Minnesota Timberwolves,Sun Jan 14 2018,9:00 pm,103,120
New Orleans Pelicans,New York Knicks,Sun Jan 14 2018,3:30 pm,123,118
Indiana Pacers,Phoenix Suns,Sun Jan 14 2018,8:00 pm,120,97
San Antonio Spurs,Atlanta Hawks,Mon Jan 15 2018,3:00 pm,99,102
New York Knicks,Brooklyn Nets,Mon Jan 15 2018,3:00 pm,119,104
Miami Heat,Chicago Bulls,Mon Jan 15 2018,3:30 pm,111,119
Golden State Warriors,Cleveland Cavaliers,Mon Jan 15 2018,8:00 pm,118,108
Charlotte Hornets,Detroit Pistons,Mon Jan 15 2018,12:30 pm,118,107
Houston Rockets,Los Angeles Clippers,Mon Jan 15 2018,10:30 pm,102,113
Los Angeles Lakers,Memphis Grizzlies,Mon Jan 15 2018,5:30 pm,114,123
Sacramento Kings,Oklahoma City Thunder,Mon Jan 15 2018,8:00 pm,88,95
Toronto Raptors,Philadelphia 76ers,Mon Jan 15 2018,1:00 pm,111,117
Indiana Pacers,Utah Jazz,Mon Jan 15 2018,9:00 pm,109,94
Milwaukee Bucks,Washington Wizards,Mon Jan 15 2018,2:00 pm,104,95
New Orleans Pelicans,Boston Celtics,Tue Jan 16 2018,7:30 pm,116,113
Dallas Mavericks,Denver Nuggets,Tue Jan 16 2018,9:00 pm,102,105
Minnesota Timberwolves,Orlando Magic,Tue Jan 16 2018,7:00 pm,102,108
Phoenix Suns,Portland Trail Blazers,Tue Jan 16 2018,10:00 pm,111,118
New Orleans Pelicans,Atlanta Hawks,Wed Jan 17 2018,7:30 pm,93,94
San Antonio Spurs,Brooklyn Nets,Wed Jan 17 2018,7:30 pm,100,95
Golden State Warriors,Chicago Bulls,Wed Jan 17 2018,8:00 pm,119,112
Washington Wizards,Charlotte Hornets,Wed Jan 17 2018,7:00 pm,109,133
Denver Nuggets,Los Angeles Clippers,Wed Jan 17 2018,10:30 pm,104,109
New York Knicks,Memphis Grizzlies,Wed Jan 17 2018,8:00 pm,99,105
Miami Heat,Milwaukee Bucks,Wed Jan 17 2018,8:00 pm,106,101
