Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
Utah Jazz,San Antonio Spurs,Tue Nov 1 2016,8:30 pm,106,91
Los Angeles Lakers,Atlanta Hawks,Wed Nov 2 2016,7:30 pm,123,116
Chicago Bulls,Boston Celtics,Wed Nov 2 2016,8:00 pm,100,107
Detroit Pistons,Brooklyn Nets,Wed Nov 2 2016,7:30 pm,101,109
Philadelphia 76ers,Charlotte Hornets,Wed Nov 2 2016,7:00 pm,93,109
Oklahoma City Thunder,Los Angeles Clippers,Wed Nov 2 2016,10:30 pm,85,83
New Orleans Pelicans,Memphis Grizzlies,Wed Nov 2 2016,8:00 pm,83,89
Houston Rockets,New York Knicks,Wed Nov 2 2016,7:30 pm,118,99
Portland Trail Blazers,Phoenix Suns,Wed Nov 2 2016,10:00 pm,115,118
Dallas Mavericks,Utah Jazz,Wed Nov 2 2016,9:00 pm,81,97
Toronto Raptors,Washington Wizards,Wed Nov 2 2016,7:00 pm,113,103
Boston Celtics,Cleveland Cavaliers,Thu Nov 3 2016,8:00 pm,122,128
Oklahoma City Thunder,Golden State Warriors,Thu Nov 3 2016,10:30 pm,96,122
Indiana Pacers,Milwaukee Bucks,Thu Nov 3 2016,8:00 pm,107,125
Denver Nuggets,Minnesota Timberwolves,Thu Nov 3 2016,8:00 pm,102,99
Sacramento Kings,Orlando Magic,Thu Nov 3 2016,7:00 pm,94,102
Charlotte Hornets,Brooklyn Nets,Fri Nov 4 2016,7:30 pm,99,95
New York Knicks,Chicago Bulls,Fri Nov 4 2016,8:00 pm,117,104
Portland Trail Blazers,Dallas Mavericks,Fri Nov 4 2016,8:30 pm,105,95
Golden State Warriors,Los Angeles Lakers,Fri Nov 4 2016,10:30 pm,97,117
Los Angeles Clippers,Memphis Grizzlies,Fri Nov 4 2016,8:00 pm,99,88
Phoenix Suns,New Orleans Pelicans,Fri Nov 4 2016,8:00 pm,112,111
Miami Heat,Toronto Raptors,Fri Nov 4 2016,7:30 pm,87,96
San Antonio Spurs,Utah Jazz,Fri Nov 4 2016,9:00 pm,100,86
Atlanta Hawks,Washington Wizards,Fri Nov 4 2016,7:00 pm,92,95
Houston Rockets,Atlanta Hawks,Sat Nov 5 2016,7:30 pm,97,112
Denver Nuggets,Detroit Pistons,Sat Nov 5 2016,7:00 pm,86,103
Chicago Bulls,Indiana Pacers,Sat Nov 5 2016,7:00 pm,94,111
Sacramento Kings,Milwaukee Bucks,Sat Nov 5 2016,8:00 pm,91,117
Minnesota Timberwolves,Oklahoma City Thunder,Sat Nov 5 2016,6:00 pm,92,112
Washington Wizards,Orlando Magic,Sat Nov 5 2016,7:00 pm,86,88
Cleveland Cavaliers,Philadelphia 76ers,Sat Nov 5 2016,7:00 pm,102,101
Los Angeles Clippers,San Antonio Spurs,Sat Nov 5 2016,8:30 pm,116,92
Denver Nuggets,Boston Celtics,Sun Nov 6 2016,7:30 pm,123,107
Milwaukee Bucks,Dallas Mavericks,Sun Nov 6 2016,7:00 pm,75,86
Phoenix Suns,Los Angeles Lakers,Sun Nov 6 2016,9:30 pm,108,119
Portland Trail Blazers,Memphis Grizzlies,Sun Nov 6 2016,3:30 pm,100,94
Utah Jazz,New York Knicks,Sun Nov 6 2016,12:00 pm,114,109
Sacramento Kings,Toronto Raptors,Sun Nov 6 2016,6:00 pm,96,91
Orlando Magic,Chicago Bulls,Mon Nov 7 2016,8:00 pm,80,112
Indiana Pacers,Charlotte Hornets,Mon Nov 7 2016,7:00 pm,100,122
New Orleans Pelicans,Golden State Warriors,Mon Nov 7 2016,10:30 pm,106,116
Detroit Pistons,Los Angeles Clippers,Mon Nov 7 2016,10:30 pm,82,114
Miami Heat,Oklahoma City Thunder,Mon Nov 7 2016,8:00 pm,85,97
Utah Jazz,Philadelphia 76ers,Mon Nov 7 2016,7:00 pm,109,84
Houston Rockets,Washington Wizards,Mon Nov 7 2016,7:00 pm,114,106
Minnesota Timberwolves,Brooklyn Nets,Tue Nov 8 2016,7:30 pm,110,119
Atlanta Hawks,Cleveland Cavaliers,Tue Nov 8 2016,7:00 pm,110,106
Dallas Mavericks,Los Angeles Lakers,Tue Nov 8 2016,10:30 pm,109,97
Denver Nuggets,Memphis Grizzlies,Tue Nov 8 2016,8:00 pm,107,108
Phoenix Suns,Portland Trail Blazers,Tue Nov 8 2016,10:00 pm,121,124
New Orleans Pelicans,Sacramento Kings,Tue Nov 8 2016,10:30 pm,94,102
Chicago Bulls,Atlanta Hawks,Wed Nov 9 2016,7:30 pm,107,115
Utah Jazz,Charlotte Hornets,Wed Nov 9 2016,7:00 pm,98,104
Dallas Mavericks,Golden State Warriors,Wed Nov 9 2016,10:30 pm,95,116
Philadelphia 76ers,Indiana Pacers,Wed Nov 9 2016,7:00 pm,115,122
Portland Trail Blazers,Los Angeles Clippers,Wed Nov 9 2016,10:30 pm,80,111
Brooklyn Nets,New York Knicks,Wed Nov 9 2016,7:00 pm,96,110
Toronto Raptors,Oklahoma City Thunder,Wed Nov 9 2016,8:00 pm,112,102
Minnesota Timberwolves,Orlando Magic,Wed Nov 9 2016,7:00 pm,123,107
Detroit Pistons,Phoenix Suns,Wed Nov 9 2016,9:00 pm,100,107
Houston Rockets,San Antonio Spurs,Wed Nov 9 2016,9:30 pm,101,99
Boston Celtics,Washington Wizards,Wed Nov 9 2016,7:00 pm,93,118
Golden State Warriors,Denver Nuggets,Thu Nov 10 2016,9:00 pm,125,101
Chicago Bulls,Miami Heat,Thu Nov 10 2016,8:00 pm,98,95
New Orleans Pelicans,Milwaukee Bucks,Thu Nov 10 2016,8:00 pm,112,106
Los Angeles Lakers,Sacramento Kings,Thu Nov 10 2016,10:30 pm,101,91
New York Knicks,Boston Celtics,Fri Nov 11 2016,7:30 pm,87,115
Toronto Raptors,Charlotte Hornets,Fri Nov 11 2016,7:00 pm,113,111
Los Angeles Clippers,Oklahoma City Thunder,Fri Nov 11 2016,8:00 pm,110,108
Utah Jazz,Orlando Magic,Fri Nov 11 2016,7:00 pm,87,74
Indiana Pacers,Philadelphia 76ers,Fri Nov 11 2016,7:00 pm,105,109
Sacramento Kings,Portland Trail Blazers,Fri Nov 11 2016,10:00 pm,120,122
Detroit Pistons,San Antonio Spurs,Fri Nov 11 2016,8:30 pm,86,96
Cleveland Cavaliers,Washington Wizards,Fri Nov 11 2016,7:00 pm,105,94
Philadelphia 76ers,Atlanta Hawks,Sat Nov 12 2016,7:30 pm,96,117
Washington Wizards,Chicago Bulls,Sat Nov 12 2016,8:00 pm,95,106
Detroit Pistons,Denver Nuggets,Sat Nov 12 2016,9:00 pm,106,95
San Antonio Spurs,Houston Rockets,Sat Nov 12 2016,8:00 pm,106,100
Boston Celtics,Indiana Pacers,Sat Nov 12 2016,7:00 pm,105,99
Utah Jazz,Miami Heat,Sat Nov 12 2016,8:00 pm,102,91
Memphis Grizzlies,Milwaukee Bucks,Sat Nov 12 2016,8:30 pm,96,106
Los Angeles Clippers,Minnesota Timberwolves,Sat Nov 12 2016,8:00 pm,119,105
Los Angeles Lakers,New Orleans Pelicans,Sat Nov 12 2016,7:00 pm,126,99
Brooklyn Nets,Phoenix Suns,Sat Nov 12 2016,9:00 pm,122,104
New York Knicks,Toronto Raptors,Sat Nov 12 2016,7:30 pm,107,118
Charlotte Hornets,Cleveland Cavaliers,Sun Nov 13 2016,3:30 pm,93,100
Phoenix Suns,Golden State Warriors,Sun Nov 13 2016,8:00 pm,120,133
Los Angeles Lakers,Minnesota Timberwolves,Sun Nov 13 2016,7:00 pm,99,125
Orlando Magic,Oklahoma City Thunder,Sun Nov 13 2016,7:00 pm,119,117
Denver Nuggets,Portland Trail Blazers,Sun Nov 13 2016,9:00 pm,105,112
Oklahoma City Thunder,Detroit Pistons,Mon Nov 14 2016,7:30 pm,88,104
Philadelphia 76ers,Houston Rockets,Mon Nov 14 2016,8:00 pm,88,115
Orlando Magic,Indiana Pacers,Mon Nov 14 2016,7:00 pm,69,88
Brooklyn Nets,Los Angeles Clippers,Mon Nov 14 2016,10:30 pm,95,127
Boston Celtics,New Orleans Pelicans,Mon Nov 14 2016,8:00 pm,105,106
Dallas Mavericks,New York Knicks,Mon Nov 14 2016,7:30 pm,77,93
Miami Heat,San Antonio Spurs,Mon Nov 14 2016,8:30 pm,90,94
Memphis Grizzlies,Utah Jazz,Mon Nov 14 2016,9:00 pm,102,96
Toronto Raptors,Cleveland Cavaliers,Tue Nov 15 2016,7:00 pm,117,121
Brooklyn Nets,Los Angeles Lakers,Tue Nov 15 2016,10:30 pm,118,125
Atlanta Hawks,Miami Heat,Tue Nov 15 2016,7:30 pm,93,90
Charlotte Hornets,Minnesota Timberwolves,Tue Nov 15 2016,8:00 pm,115,108
Chicago Bulls,Portland Trail Blazers,Tue Nov 15 2016,10:00 pm,113,88
Milwaukee Bucks,Atlanta Hawks,Wed Nov 16 2016,7:30 pm,100,107
Dallas Mavericks,Boston Celtics,Wed Nov 16 2016,7:30 pm,83,90
Phoenix Suns,Denver Nuggets,Wed Nov 16 2016,9:00 pm,104,120
Cleveland Cavaliers,Indiana Pacers,Wed Nov 16 2016,7:00 pm,93,103
Memphis Grizzlies,Los Angeles Clippers,Wed Nov 16 2016,10:30 pm,111,107
Detroit Pistons,New York Knicks,Wed Nov 16 2016,7:30 pm,102,105
Houston Rockets,Oklahoma City Thunder,Wed Nov 16 2016,8:00 pm,103,105
New Orleans Pelicans,Orlando Magic,Wed Nov 16 2016,7:00 pm,82,89
Washington Wizards,Philadelphia 76ers,Wed Nov 16 2016,7:00 pm,102,109
San Antonio Spurs,Sacramento Kings,Wed Nov 16 2016,10:30 pm,110,105
Golden State Warriors,Toronto Raptors,Wed Nov 16 2016,8:00 pm,127,121
Portland Trail Blazers,Houston Rockets,Thu Nov 17 2016,8:00 pm,109,126
Milwaukee Bucks,Miami Heat,Thu Nov 17 2016,7:30 pm,73,96
Philadelphia 76ers,Minnesota Timberwolves,Thu Nov 17 2016,8:00 pm,86,110
Chicago Bulls,Utah Jazz,Thu Nov 17 2016,10:30 pm,85,77
New York Knicks,Washington Wizards,Thu Nov 17 2016,7:00 pm,112,119
Golden State Warriors,Boston Celtics,Fri Nov 18 2016,8:00 pm,104,88
Atlanta Hawks,Charlotte Hornets,Fri Nov 18 2016,7:00 pm,96,100
Detroit Pistons,Cleveland Cavaliers,Fri Nov 18 2016,7:30 pm,81,104
Memphis Grizzlies,Dallas Mavericks,Fri Nov 18 2016,8:30 pm,80,64
Toronto Raptors,Denver Nuggets,Fri Nov 18 2016,9:00 pm,113,111
Phoenix Suns,Indiana Pacers,Fri Nov 18 2016,7:00 pm,116,96
San Antonio Spurs,Los Angeles Lakers,Fri Nov 18 2016,10:30 pm,116,107
Portland Trail Blazers,New Orleans Pelicans,Fri Nov 18 2016,8:00 pm,101,113
Brooklyn Nets,Oklahoma City Thunder,Fri Nov 18 2016,8:00 pm,105,124
Los Angeles Clippers,Sacramento Kings,Fri Nov 18 2016,10:30 pm,121,115
Boston Celtics,Detroit Pistons,Sat Nov 19 2016,7:00 pm,94,92
Utah Jazz,Houston Rockets,Sat Nov 19 2016,5:00 pm,102,111
Chicago Bulls,Los Angeles Clippers,Sat Nov 19 2016,10:30 pm,95,102
Minnesota Timberwolves,Memphis Grizzlies,Sat Nov 19 2016,8:00 pm,71,93
Golden State Warriors,Milwaukee Bucks,Sat Nov 19 2016,8:30 pm,124,121
Charlotte Hornets,New Orleans Pelicans,Sat Nov 19 2016,7:00 pm,116,121
Dallas Mavericks,Orlando Magic,Sat Nov 19 2016,7:00 pm,87,95
Phoenix Suns,Philadelphia 76ers,Sat Nov 19 2016,7:30 pm,105,120
Miami Heat,Washington Wizards,Sat Nov 19 2016,7:00 pm,114,111
Portland Trail Blazers,Brooklyn Nets,Sun Nov 20 2016,3:30 pm,129,109
Utah Jazz,Denver Nuggets,Sun Nov 20 2016,9:00 pm,91,105
Chicago Bulls,Los Angeles Lakers,Sun Nov 20 2016,9:30 pm,118,110
Atlanta Hawks,New York Knicks,Sun Nov 20 2016,12:00 pm,94,104
Indiana Pacers,Oklahoma City Thunder,Sun Nov 20 2016,7:00 pm,115,111
Toronto Raptors,Sacramento Kings,Sun Nov 20 2016,9:00 pm,99,102
Memphis Grizzlies,Charlotte Hornets,Mon Nov 21 2016,7:00 pm,105,90
Houston Rockets,Detroit Pistons,Mon Nov 21 2016,7:30 pm,99,96
Golden State Warriors,Indiana Pacers,Mon Nov 21 2016,7:00 pm,120,83
Toronto Raptors,Los Angeles Clippers,Mon Nov 21 2016,10:30 pm,115,123
Orlando Magic,Milwaukee Bucks,Mon Nov 21 2016,8:00 pm,89,93
Boston Celtics,Minnesota Timberwolves,Mon Nov 21 2016,8:00 pm,99,93
Miami Heat,Philadelphia 76ers,Mon Nov 21 2016,7:00 pm,94,101
Dallas Mavericks,San Antonio Spurs,Mon Nov 21 2016,8:30 pm,91,96
Phoenix Suns,Washington Wizards,Mon Nov 21 2016,7:00 pm,101,106
New Orleans Pelicans,Atlanta Hawks,Tue Nov 22 2016,7:30 pm,112,94
Chicago Bulls,Denver Nuggets,Tue Nov 22 2016,9:00 pm,107,110
Oklahoma City Thunder,Los Angeles Lakers,Tue Nov 22 2016,10:30 pm,109,111
Portland Trail Blazers,New York Knicks,Tue Nov 22 2016,7:30 pm,103,107
Boston Celtics,Brooklyn Nets,Wed Nov 23 2016,7:30 pm,111,92
San Antonio Spurs,Charlotte Hornets,Wed Nov 23 2016,7:00 pm,119,114
Portland Trail Blazers,Cleveland Cavaliers,Wed Nov 23 2016,7:00 pm,125,137
Los Angeles Clippers,Dallas Mavericks,Wed Nov 23 2016,8:30 pm,124,104
Miami Heat,Detroit Pistons,Wed Nov 23 2016,7:30 pm,84,107
Los Angeles Lakers,Golden State Warriors,Wed Nov 23 2016,10:30 pm,106,149
Toronto Raptors,Houston Rockets,Wed Nov 23 2016,8:00 pm,115,102
Atlanta Hawks,Indiana Pacers,Wed Nov 23 2016,7:00 pm,96,85
Minnesota Timberwolves,New Orleans Pelicans,Wed Nov 23 2016,9:30 pm,96,117
Phoenix Suns,Orlando Magic,Wed Nov 23 2016,7:00 pm,92,87
Memphis Grizzlies,Philadelphia 76ers,Wed Nov 23 2016,7:00 pm,104,99
Oklahoma City Thunder,Sacramento Kings,Wed Nov 23 2016,10:30 pm,101,116
Denver Nuggets,Utah Jazz,Wed Nov 23 2016,9:00 pm,83,108
San Antonio Spurs,Boston Celtics,Fri Nov 25 2016,1:00 pm,109,103
Dallas Mavericks,Cleveland Cavaliers,Fri Nov 25 2016,7:30 pm,90,128
Oklahoma City Thunder,Denver Nuggets,Fri Nov 25 2016,9:00 pm,132,129
Los Angeles Clippers,Detroit Pistons,Fri Nov 25 2016,7:30 pm,97,108
Brooklyn Nets,Indiana Pacers,Fri Nov 25 2016,8:00 pm,97,118
Golden State Warriors,Los Angeles Lakers,Fri Nov 25 2016,10:30 pm,109,85
Miami Heat,Memphis Grizzlies,Fri Nov 25 2016,8:00 pm,90,81
Toronto Raptors,Milwaukee Bucks,Fri Nov 25 2016,8:00 pm,105,99
Charlotte Hornets,New York Knicks,Fri Nov 25 2016,7:30 pm,111,113
Washington Wizards,Orlando Magic,Fri Nov 25 2016,7:00 pm,94,91
Chicago Bulls,Philadelphia 76ers,Fri Nov 25 2016,7:30 pm,105,89
Minnesota Timberwolves,Phoenix Suns,Fri Nov 25 2016,9:00 pm,98,85
New Orleans Pelicans,Portland Trail Blazers,Fri Nov 25 2016,10:00 pm,104,119
Houston Rockets,Sacramento Kings,Fri Nov 25 2016,10:30 pm,117,104
Atlanta Hawks,Utah Jazz,Fri Nov 25 2016,8:00 pm,68,95
New York Knicks,Charlotte Hornets,Sat Nov 26 2016,7:00 pm,102,107
Minnesota Timberwolves,Golden State Warriors,Sat Nov 26 2016,10:30 pm,102,115
Memphis Grizzlies,Miami Heat,Sat Nov 26 2016,8:00 pm,110,107
Detroit Pistons,Oklahoma City Thunder,Sat Nov 26 2016,8:00 pm,88,106
San Antonio Spurs,Washington Wizards,Sat Nov 26 2016,7:00 pm,112,100
Sacramento Kings,Brooklyn Nets,Sun Nov 27 2016,6:00 pm,122,105
New Orleans Pelicans,Dallas Mavericks,Sun Nov 27 2016,7:00 pm,81,91
Los Angeles Clippers,Indiana Pacers,Sun Nov 27 2016,6:00 pm,70,91
Atlanta Hawks,Los Angeles Lakers,Sun Nov 27 2016,9:30 pm,94,109
Milwaukee Bucks,Orlando Magic,Sun Nov 27 2016,6:00 pm,104,96
Cleveland Cavaliers,Philadelphia 76ers,Sun Nov 27 2016,1:00 pm,112,108
Denver Nuggets,Phoenix Suns,Sun Nov 27 2016,3:30 pm,120,114
Houston Rockets,Portland Trail Blazers,Sun Nov 27 2016,9:00 pm,130,114
Atlanta Hawks,Golden State Warriors,Mon Nov 28 2016,10:30 pm,100,105
Charlotte Hornets,Memphis Grizzlies,Mon Nov 28 2016,8:00 pm,104,85
Boston Celtics,Miami Heat,Mon Nov 28 2016,7:30 pm,112,104
Utah Jazz,Minnesota Timberwolves,Mon Nov 28 2016,8:00 pm,112,103
Oklahoma City Thunder,New York Knicks,Mon Nov 28 2016,7:30 pm,112,103
Philadelphia 76ers,Toronto Raptors,Mon Nov 28 2016,7:30 pm,95,122
Sacramento Kings,Washington Wizards,Mon Nov 28 2016,7:00 pm,95,101
Los Angeles Clippers,Brooklyn Nets,Tue Nov 29 2016,7:30 pm,122,127
Detroit Pistons,Charlotte Hornets,Tue Nov 29 2016,7:00 pm,112,89
Cleveland Cavaliers,Milwaukee Bucks,Tue Nov 29 2016,8:00 pm,101,118
Los Angeles Lakers,New Orleans Pelicans,Tue Nov 29 2016,8:00 pm,88,105
Orlando Magic,San Antonio Spurs,Tue Nov 29 2016,8:30 pm,95,83
Houston Rockets,Utah Jazz,Tue Nov 29 2016,9:00 pm,101,120
Detroit Pistons,Boston Celtics,Wed Nov 30 2016,7:30 pm,121,114
Los Angeles Lakers,Chicago Bulls,Wed Nov 30 2016,8:00 pm,96,90
San Antonio Spurs,Dallas Mavericks,Wed Nov 30 2016,8:30 pm,94,87
Miami Heat,Denver Nuggets,Wed Nov 30 2016,9:00 pm,106,98
New York Knicks,Minnesota Timberwolves,Wed Nov 30 2016,8:00 pm,106,104
Washington Wizards,Oklahoma City Thunder,Wed Nov 30 2016,8:00 pm,115,126
Atlanta Hawks,Phoenix Suns,Wed Nov 30 2016,9:00 pm,107,109
Indiana Pacers,Portland Trail Blazers,Wed Nov 30 2016,10:00 pm,109,131
Memphis Grizzlies,Toronto Raptors,Wed Nov 30 2016,7:30 pm,105,120
Milwaukee Bucks,Brooklyn Nets,Thu Dec 1 2016,7:30 pm,111,93
Dallas Mavericks,Charlotte Hornets,Thu Dec 1 2016,7:00 pm,87,97
Los Angeles Clippers,Cleveland Cavaliers,Thu Dec 1 2016,8:00 pm,113,94
Houston Rockets,Golden State Warriors,Thu Dec 1 2016,10:30 pm,132,127
Orlando Magic,Memphis Grizzlies,Thu Dec 1 2016,8:00 pm,94,95
Miami Heat,Utah Jazz,Thu Dec 1 2016,9:00 pm,111,110
Detroit Pistons,Atlanta Hawks,Fri Dec 2 2016,8:00 pm,121,85
Sacramento Kings,Boston Celtics,Fri Dec 2 2016,7:30 pm,92,97
Cleveland Cavaliers,Chicago Bulls,Fri Dec 2 2016,8:00 pm,105,111
Houston Rockets,Denver Nuggets,Fri Dec 2 2016,10:30 pm,128,110
Los Angeles Clippers,New Orleans Pelicans,Fri Dec 2 2016,8:00 pm,114,96
Minnesota Timberwolves,New York Knicks,Fri Dec 2 2016,7:30 pm,114,118
Orlando Magic,Philadelphia 76ers,Fri Dec 2 2016,7:00 pm,105,88
Washington Wizards,San Antonio Spurs,Fri Dec 2 2016,8:30 pm,105,107
Los Angeles Lakers,Toronto Raptors,Fri Dec 2 2016,7:30 pm,80,113
Minnesota Timberwolves,Charlotte Hornets,Sat Dec 3 2016,7:00 pm,125,120
Chicago Bulls,Dallas Mavericks,Sat Dec 3 2016,8:30 pm,82,107
Phoenix Suns,Golden State Warriors,Sat Dec 3 2016,10:30 pm,109,138
Los Angeles Lakers,Memphis Grizzlies,Sat Dec 3 2016,8:00 pm,100,103
Brooklyn Nets,Milwaukee Bucks,Sat Dec 3 2016,5:00 pm,103,112
Boston Celtics,Philadelphia 76ers,Sat Dec 3 2016,7:30 pm,107,106
Miami Heat,Portland Trail Blazers,Sat Dec 3 2016,10:00 pm,92,99
Atlanta Hawks,Toronto Raptors,Sat Dec 3 2016,7:30 pm,84,128
Denver Nuggets,Utah Jazz,Sat Dec 3 2016,9:00 pm,98,105
Orlando Magic,Detroit Pistons,Sun Dec 4 2016,6:00 pm,98,92
Indiana Pacers,Los Angeles Clippers,Sun Dec 4 2016,9:30 pm,111,102
Sacramento Kings,New York Knicks,Sun Dec 4 2016,7:30 pm,98,106
New Orleans Pelicans,Oklahoma City Thunder,Sun Dec 4 2016,7:00 pm,92,101
Oklahoma City Thunder,Atlanta Hawks,Mon Dec 5 2016,7:30 pm,102,99
Washington Wizards,Brooklyn Nets,Mon Dec 5 2016,7:30 pm,118,113
Portland Trail Blazers,Chicago Bulls,Mon Dec 5 2016,8:00 pm,112,110
Charlotte Hornets,Dallas Mavericks,Mon Dec 5 2016,8:30 pm,109,101
Indiana Pacers,Golden State Warriors,Mon Dec 5 2016,10:30 pm,106,142
Boston Celtics,Houston Rockets,Mon Dec 5 2016,8:00 pm,106,107
Utah Jazz,Los Angeles Lakers,Mon Dec 5 2016,10:30 pm,107,101
San Antonio Spurs,Milwaukee Bucks,Mon Dec 5 2016,8:00 pm,97,96
Memphis Grizzlies,New Orleans Pelicans,Mon Dec 5 2016,8:00 pm,110,108
Denver Nuggets,Philadelphia 76ers,Mon Dec 5 2016,7:00 pm,106,98
Cleveland Cavaliers,Toronto Raptors,Mon Dec 5 2016,7:30 pm,116,112
Chicago Bulls,Detroit Pistons,Tue Dec 6 2016,7:30 pm,91,102
Philadelphia 76ers,Memphis Grizzlies,Tue Dec 6 2016,8:00 pm,91,96
New York Knicks,Miami Heat,Tue Dec 6 2016,7:30 pm,114,103
San Antonio Spurs,Minnesota Timberwolves,Tue Dec 6 2016,8:00 pm,105,91
Phoenix Suns,Utah Jazz,Tue Dec 6 2016,9:00 pm,105,112
Orlando Magic,Washington Wizards,Tue Dec 6 2016,7:00 pm,124,116
Miami Heat,Atlanta Hawks,Wed Dec 7 2016,7:30 pm,95,103
Denver Nuggets,Brooklyn Nets,Wed Dec 7 2016,7:30 pm,111,116
Detroit Pistons,Charlotte Hornets,Wed Dec 7 2016,7:00 pm,77,87
Sacramento Kings,Dallas Mavericks,Wed Dec 7 2016,8:30 pm,120,89
Los Angeles Lakers,Houston Rockets,Wed Dec 7 2016,8:00 pm,95,134
Golden State Warriors,Los Angeles Clippers,Wed Dec 7 2016,10:30 pm,115,98
Portland Trail Blazers,Milwaukee Bucks,Wed Dec 7 2016,8:00 pm,107,115
Cleveland Cavaliers,New York Knicks,Wed Dec 7 2016,8:00 pm,126,94
Boston Celtics,Orlando Magic,Wed Dec 7 2016,7:00 pm,117,87
Indiana Pacers,Phoenix Suns,Wed Dec 7 2016,9:00 pm,109,94
