Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
New York Knicks,Cleveland Cavaliers,Tue Oct 25 2016,7:30 pm,88,117
San Antonio Spurs,Golden State Warriors,Tue Oct 25 2016,10:30 pm,129,100
Utah Jazz,Portland Trail Blazers,Tue Oct 25 2016,10:00 pm,104,113
Brooklyn Nets,Boston Celtics,Wed Oct 26 2016,7:30 pm,117,122
Dallas Mavericks,Indiana Pacers,Wed Oct 26 2016,7:00 pm,121,130
Houston Rockets,Los Angeles Lakers,Wed Oct 26 2016,10:30 pm,114,120
Minnesota Timberwolves,Memphis Grizzlies,Wed Oct 26 2016,8:00 pm,98,102
Charlotte Hornets,Milwaukee Bucks,Wed Oct 26 2016,8:00 pm,107,96
Denver Nuggets,New Orleans Pelicans,Wed Oct 26 2016,8:00 pm,107,102
Miami Heat,Orlando Magic,Wed Oct 26 2016,7:00 pm,108,96
Oklahoma City Thunder,Philadelphia 76ers,Wed Oct 26 2016,8:00 pm,103,97
Sacramento Kings,Phoenix Suns,Wed Oct 26 2016,10:00 pm,113,94
Detroit Pistons,Toronto Raptors,Wed Oct 26 2016,7:30 pm,91,109
Washington Wizards,Atlanta Hawks,Thu Oct 27 2016,7:30 pm,99,114
Boston Celtics,Chicago Bulls,Thu Oct 27 2016,8:00 pm,99,105
Los Angeles Clippers,Portland Trail Blazers,Thu Oct 27 2016,10:30 pm,114,106
San Antonio Spurs,Sacramento Kings,Thu Oct 27 2016,10:30 pm,102,94
Indiana Pacers,Brooklyn Nets,Fri Oct 28 2016,7:30 pm,94,103
Houston Rockets,Dallas Mavericks,Fri Oct 28 2016,8:30 pm,106,98
Orlando Magic,Detroit Pistons,Fri Oct 28 2016,7:30 pm,82,108
Charlotte Hornets,Miami Heat,Fri Oct 28 2016,8:00 pm,97,91
Golden State Warriors,New Orleans Pelicans,Fri Oct 28 2016,9:30 pm,122,114
Phoenix Suns,Oklahoma City Thunder,Fri Oct 28 2016,8:00 pm,110,113
Cleveland Cavaliers,Toronto Raptors,Fri Oct 28 2016,7:00 pm,94,91
Los Angeles Lakers,Utah Jazz,Fri Oct 28 2016,9:00 pm,89,96
Indiana Pacers,Chicago Bulls,Sat Oct 29 2016,8:00 pm,101,118
Boston Celtics,Charlotte Hornets,Sat Oct 29 2016,7:00 pm,104,98
Orlando Magic,Cleveland Cavaliers,Sat Oct 29 2016,7:30 pm,99,105
Portland Trail Blazers,Denver Nuggets,Sat Oct 29 2016,9:00 pm,115,113
Brooklyn Nets,Milwaukee Bucks,Sat Oct 29 2016,8:00 pm,108,110
Memphis Grizzlies,New York Knicks,Sat Oct 29 2016,7:30 pm,104,111
Atlanta Hawks,Philadelphia 76ers,Sat Oct 29 2016,12:30 pm,104,72
Minnesota Timberwolves,Sacramento Kings,Sat Oct 29 2016,10:30 pm,103,106
New Orleans Pelicans,San Antonio Spurs,Sat Oct 29 2016,8:00 pm,79,98
Milwaukee Bucks,Detroit Pistons,Sun Oct 30 2016,6:00 pm,83,98
Dallas Mavericks,Houston Rockets,Sun Oct 30 2016,8:00 pm,92,93
Utah Jazz,Los Angeles Clippers,Sun Oct 30 2016,4:30 pm,75,88
Washington Wizards,Memphis Grizzlies,Sun Oct 30 2016,8:00 pm,103,112
San Antonio Spurs,Miami Heat,Sun Oct 30 2016,6:00 pm,106,99
Los Angeles Lakers,Oklahoma City Thunder,Sun Oct 30 2016,7:00 pm,96,113
Golden State Warriors,Phoenix Suns,Sun Oct 30 2016,6:00 pm,106,100
Sacramento Kings,Atlanta Hawks,Mon Oct 31 2016,7:30 pm,95,106
Chicago Bulls,Brooklyn Nets,Mon Oct 31 2016,7:30 pm,118,88
Phoenix Suns,Los Angeles Clippers,Mon Oct 31 2016,10:30 pm,98,116
Denver Nuggets,Toronto Raptors,Mon Oct 31 2016,7:30 pm,102,105
Houston Rockets,Cleveland Cavaliers,Tue Nov 1 2016,6:00 pm,120,128
New York Knicks,Detroit Pistons,Tue Nov 1 2016,7:30 pm,89,102
Los Angeles Lakers,Indiana Pacers,Tue Nov 1 2016,7:00 pm,108,115
Sacramento Kings,Miami Heat,Tue Nov 1 2016,7:30 pm,96,108
Memphis Grizzlies,Minnesota Timberwolves,Tue Nov 1 2016,8:00 pm,80,116
Milwaukee Bucks,New Orleans Pelicans,Tue Nov 1 2016,8:00 pm,117,113
Orlando Magic,Philadelphia 76ers,Tue Nov 1 2016,7:00 pm,103,101
Golden State Warriors,Portland Trail Blazers,Tue Nov 1 2016,10:00 pm,127,104
